"cast_id","cast_group","cast_date","start_moon","end_moon","lead_time","model","data_set","portalcasting_version","QAQC","notes"
61,3,"2019-11-22",217,524,12,"pevGARCH","all_interp","0.15.0",TRUE,NA
62,3,"2019-11-22",217,524,12,"pevGARCH","controls_interp","0.15.0",TRUE,NA
63,3,"2019-11-22",217,524,12,"pevGARCH","exclosures_interp","0.15.0",TRUE,NA
64,3,"2019-11-22",217,524,12,"simplexEDM","all_interp","0.15.0",TRUE,NA
65,3,"2019-11-22",217,524,12,"simplexEDM","controls_interp","0.15.0",TRUE,NA
66,3,"2019-11-22",217,524,12,"simplexEDM","exclosures_interp","0.15.0",TRUE,NA
67,4,"2019-11-28",217,525,12,"AutoArima","all","0.15.0",TRUE,NA
68,4,"2019-11-28",217,525,12,"AutoArima","controls","0.15.0",TRUE,NA
69,4,"2019-11-28",217,525,12,"AutoArima","exclosures","0.15.0",TRUE,NA
70,4,"2019-11-28",217,525,12,"ESSS","all_interp","0.15.0",TRUE,NA
71,4,"2019-11-28",217,525,12,"ESSS","controls_interp","0.15.0",TRUE,NA
72,4,"2019-11-28",217,525,12,"ESSS","exclosures_interp","0.15.0",TRUE,NA
73,4,"2019-11-28",217,525,12,"jags_RW","all","0.15.0",TRUE,NA
74,4,"2019-11-28",217,525,12,"jags_RW","controls","0.15.0",TRUE,NA
75,4,"2019-11-28",217,525,12,"jags_RW","exclosures","0.15.0",TRUE,NA
76,4,"2019-11-28",217,525,12,"NaiveArima","all","0.15.0",TRUE,NA
77,4,"2019-11-28",217,525,12,"NaiveArima","controls","0.15.0",TRUE,NA
78,4,"2019-11-28",217,525,12,"NaiveArima","exclosures","0.15.0",TRUE,NA
79,4,"2019-11-28",217,525,12,"nbGARCH","all_interp","0.15.0",TRUE,NA
80,4,"2019-11-28",217,525,12,"nbGARCH","controls_interp","0.15.0",TRUE,NA
81,4,"2019-11-28",217,525,12,"nbGARCH","exclosures_interp","0.15.0",TRUE,NA
82,4,"2019-11-28",217,525,12,"nbsGARCH","all_interp","0.15.0",TRUE,NA
83,4,"2019-11-28",217,525,12,"nbsGARCH","controls_interp","0.15.0",TRUE,NA
84,4,"2019-11-28",217,525,12,"nbsGARCH","exclosures_interp","0.15.0",TRUE,NA
85,4,"2019-11-28",217,525,12,"pevGARCH","all_interp","0.15.0",TRUE,NA
86,4,"2019-11-28",217,525,12,"pevGARCH","controls_interp","0.15.0",TRUE,NA
87,4,"2019-11-28",217,525,12,"pevGARCH","exclosures_interp","0.15.0",TRUE,NA
88,4,"2019-11-28",217,525,12,"simplexEDM","all_interp","0.15.0",TRUE,NA
89,4,"2019-11-28",217,525,12,"simplexEDM","controls_interp","0.15.0",TRUE,NA
90,4,"2019-11-28",217,525,12,"simplexEDM","exclosures_interp","0.15.0",TRUE,NA
91,5,"2019-11-29",217,525,12,"AutoArima","all","0.15.0",TRUE,NA
92,5,"2019-11-29",217,525,12,"AutoArima","controls","0.15.0",TRUE,NA
93,5,"2019-11-29",217,525,12,"AutoArima","exclosures","0.15.0",TRUE,NA
94,5,"2019-11-29",217,525,12,"ESSS","all_interp","0.15.0",TRUE,NA
95,5,"2019-11-29",217,525,12,"ESSS","controls_interp","0.15.0",TRUE,NA
96,5,"2019-11-29",217,525,12,"ESSS","exclosures_interp","0.15.0",TRUE,NA
97,5,"2019-11-29",217,525,12,"NaiveArima","all","0.15.0",TRUE,NA
98,5,"2019-11-29",217,525,12,"NaiveArima","controls","0.15.0",TRUE,NA
99,5,"2019-11-29",217,525,12,"NaiveArima","exclosures","0.15.0",TRUE,NA
100,5,"2019-11-29",217,525,12,"nbGARCH","all_interp","0.15.0",TRUE,NA
101,5,"2019-11-29",217,525,12,"nbGARCH","controls_interp","0.15.0",TRUE,NA
102,5,"2019-11-29",217,525,12,"nbGARCH","exclosures_interp","0.15.0",TRUE,NA
103,5,"2019-11-29",217,525,12,"nbsGARCH","all_interp","0.15.0",TRUE,NA
104,5,"2019-11-29",217,525,12,"nbsGARCH","controls_interp","0.15.0",TRUE,NA
105,5,"2019-11-29",217,525,12,"nbsGARCH","exclosures_interp","0.15.0",TRUE,NA
106,5,"2019-11-29",217,525,12,"pevGARCH","all_interp","0.15.0",TRUE,NA
107,5,"2019-11-29",217,525,12,"pevGARCH","controls_interp","0.15.0",TRUE,NA
108,5,"2019-11-29",217,525,12,"pevGARCH","exclosures_interp","0.15.0",TRUE,NA
109,5,"2019-11-29",217,525,12,"simplexEDM","all_interp","0.15.0",TRUE,NA
110,5,"2019-11-29",217,525,12,"simplexEDM","controls_interp","0.15.0",TRUE,NA
111,5,"2019-11-29",217,525,12,"simplexEDM","exclosures_interp","0.15.0",TRUE,NA
112,6,"2019-12-05",217,525,12,"AutoArima","all","0.15.0",TRUE,NA
113,6,"2019-12-05",217,525,12,"AutoArima","controls","0.15.0",TRUE,NA
114,6,"2019-12-05",217,525,12,"AutoArima","exclosures","0.15.0",TRUE,NA
115,6,"2019-12-05",217,525,12,"ESSS","all_interp","0.15.0",TRUE,NA
116,6,"2019-12-05",217,525,12,"ESSS","controls_interp","0.15.0",TRUE,NA
117,6,"2019-12-05",217,525,12,"ESSS","exclosures_interp","0.15.0",TRUE,NA
118,6,"2019-12-05",217,525,12,"jags_RW","all","0.15.0",TRUE,NA
119,6,"2019-12-05",217,525,12,"jags_RW","controls","0.15.0",TRUE,NA
120,6,"2019-12-05",217,525,12,"jags_RW","exclosures","0.15.0",TRUE,NA
121,6,"2019-12-05",217,525,12,"NaiveArima","all","0.15.0",TRUE,NA
122,6,"2019-12-05",217,525,12,"NaiveArima","controls","0.15.0",TRUE,NA
123,6,"2019-12-05",217,525,12,"NaiveArima","exclosures","0.15.0",TRUE,NA
124,6,"2019-12-05",217,525,12,"nbGARCH","all_interp","0.15.0",TRUE,NA
125,6,"2019-12-05",217,525,12,"nbGARCH","controls_interp","0.15.0",TRUE,NA
126,6,"2019-12-05",217,525,12,"nbGARCH","exclosures_interp","0.15.0",TRUE,NA
127,6,"2019-12-05",217,525,12,"nbsGARCH","all_interp","0.15.0",TRUE,NA
128,6,"2019-12-05",217,525,12,"nbsGARCH","controls_interp","0.15.0",TRUE,NA
129,6,"2019-12-05",217,525,12,"nbsGARCH","exclosures_interp","0.15.0",TRUE,NA
130,6,"2019-12-05",217,525,12,"pevGARCH","all_interp","0.15.0",TRUE,NA
131,6,"2019-12-05",217,525,12,"pevGARCH","controls_interp","0.15.0",TRUE,NA
132,6,"2019-12-05",217,525,12,"pevGARCH","exclosures_interp","0.15.0",TRUE,NA
133,6,"2019-12-05",217,525,12,"simplexEDM","all_interp","0.15.0",TRUE,NA
134,6,"2019-12-05",217,525,12,"simplexEDM","controls_interp","0.15.0",TRUE,NA
135,6,"2019-12-05",217,525,12,"simplexEDM","exclosures_interp","0.15.0",TRUE,NA
136,7,"2019-12-06",217,525,12,"AutoArima","all","0.15.0",TRUE,NA
137,7,"2019-12-06",217,525,12,"AutoArima","controls","0.15.0",TRUE,NA
138,7,"2019-12-06",217,525,12,"AutoArima","exclosures","0.15.0",TRUE,NA
139,7,"2019-12-06",217,525,12,"ESSS","all_interp","0.15.0",TRUE,NA
140,7,"2019-12-06",217,525,12,"ESSS","controls_interp","0.15.0",TRUE,NA
141,7,"2019-12-06",217,525,12,"ESSS","exclosures_interp","0.15.0",TRUE,NA
142,7,"2019-12-06",217,525,12,"NaiveArima","all","0.15.0",TRUE,NA
143,7,"2019-12-06",217,525,12,"NaiveArima","controls","0.15.0",TRUE,NA
144,7,"2019-12-06",217,525,12,"NaiveArima","exclosures","0.15.0",TRUE,NA
145,7,"2019-12-06",217,525,12,"nbGARCH","all_interp","0.15.0",TRUE,NA
146,7,"2019-12-06",217,525,12,"nbGARCH","controls_interp","0.15.0",TRUE,NA
147,7,"2019-12-06",217,525,12,"nbGARCH","exclosures_interp","0.15.0",TRUE,NA
148,7,"2019-12-06",217,525,12,"nbsGARCH","all_interp","0.15.0",TRUE,NA
149,7,"2019-12-06",217,525,12,"nbsGARCH","controls_interp","0.15.0",TRUE,NA
