"cast_date","cast_month","cast_year","moon","currency","model","dataset","species","estimate","lower_pi","upper_pi","cast_group","confidence_level","start_moon","end_moon","cast_id"
"2022-05-26",4,2022,555,"abundance","jags_logistic","dm_controls","DM",21.16,12.82,30.191,96,0.95,217,555,2520
"2022-05-26",5,2022,556,"abundance","jags_logistic","dm_controls","DM",34.054,0.129,123.909,96,0.95,217,555,2520
"2022-05-26",6,2022,557,"abundance","jags_logistic","dm_controls","DM",42.984,1.488,196.9,96,0.95,217,555,2520
"2022-05-26",7,2022,558,"abundance","jags_logistic","dm_controls","DM",47.262,0.773,196.9,96,0.95,217,555,2520
"2022-05-26",8,2022,559,"abundance","jags_logistic","dm_controls","DM",49.383,0.439,196.9,96,0.95,217,555,2520
"2022-05-26",9,2022,560,"abundance","jags_logistic","dm_controls","DM",49.998,0.239,196.9,96,0.95,217,555,2520
"2022-05-26",10,2022,561,"abundance","jags_logistic","dm_controls","DM",50.14,0.14,196.9,96,0.95,217,555,2520
"2022-05-26",11,2022,562,"abundance","jags_logistic","dm_controls","DM",49.991,0.077,196.9,96,0.95,217,555,2520
"2022-05-26",12,2022,563,"abundance","jags_logistic","dm_controls","DM",49.021,0.029,196.9,96,0.95,217,555,2520
"2022-05-26",1,2023,564,"abundance","jags_logistic","dm_controls","DM",47.622,0,196.9,96,0.95,217,555,2520
"2022-05-26",2,2023,565,"abundance","jags_logistic","dm_controls","DM",47.013,0,196.9,96,0.95,217,555,2520
"2022-05-26",3,2023,566,"abundance","jags_logistic","dm_controls","DM",46.515,0,196.9,96,0.95,217,555,2520
"2022-05-26",4,2023,567,"abundance","jags_logistic","dm_controls","DM",44.839,0,196.9,96,0.95,217,555,2520
