"cast_date","cast_month","cast_year","moon","currency","model","dataset","species","estimate","lower_pi","upper_pi","cast_group","confidence_level","start_moon","end_moon","cast_id"
"2022-05-26",4,2022,555,"abundance","jags_RW","dm_controls","DM",21.229,12.518,29.913,96,0.95,217,555,2521
"2022-05-26",5,2022,556,"abundance","jags_RW","dm_controls","DM",35.132,0.313,124.996,96,0.95,217,555,2521
"2022-05-26",6,2022,557,"abundance","jags_RW","dm_controls","DM",44.989,1.589,196.9,96,0.95,217,555,2521
"2022-05-26",7,2022,558,"abundance","jags_RW","dm_controls","DM",50.149,0.866,196.9,96,0.95,217,555,2521
"2022-05-26",8,2022,559,"abundance","jags_RW","dm_controls","DM",52.55,0.506,196.9,96,0.95,217,555,2521
"2022-05-26",9,2022,560,"abundance","jags_RW","dm_controls","DM",53.27,0.286,196.9,96,0.95,217,555,2521
"2022-05-26",10,2022,561,"abundance","jags_RW","dm_controls","DM",53.612,0.156,196.9,96,0.95,217,555,2521
"2022-05-26",11,2022,562,"abundance","jags_RW","dm_controls","DM",53.014,0.084,196.9,96,0.95,217,555,2521
"2022-05-26",12,2022,563,"abundance","jags_RW","dm_controls","DM",52.703,0.036,196.9,96,0.95,217,555,2521
"2022-05-26",1,2023,564,"abundance","jags_RW","dm_controls","DM",52.241,0,196.9,96,0.95,217,555,2521
"2022-05-26",2,2023,565,"abundance","jags_RW","dm_controls","DM",51.127,0,196.9,96,0.95,217,555,2521
"2022-05-26",3,2023,566,"abundance","jags_RW","dm_controls","DM",49.907,0,196.9,96,0.95,217,555,2521
"2022-05-26",4,2023,567,"abundance","jags_RW","dm_controls","DM",49.512,0,196.9,96,0.95,217,555,2521
