"newmoonnumber","ndvi"
252,0.30625
253,0.267
254,0.2285
255,0.2045
256,0.2185
257,0.2585
258,0.301
259,0.32
260,0.28
261,0.2605
262,0.286
263,0.262
264,0.306
265,0.2775
266,0.2555
267,0.2185
268,0.1945
269,0.181
270,0.2345
271,0.2185
272,0.22
273,0.247
274,0.375
275,0.3595
276,0.401
277,0.3
278,0.269
279,0.2515
280,0.2505
281,0.2455
282,0.2345
283,0.276
284,0.2725
285,0.3185
286,0.314
287,0.3095
288,0.3395
289,0.304
290,0.3645
291,0.31
292,0.2655
293,0.283
294,0.3415
295,0.3525
296,0.347
297,0.3055
298,0.26
299,0.359
300,0.364
301,0.337
302,0.241
303,0.305
304,0.295
305,0.249
306,0.2775
307,0.21
308,0.3005
309,0.2375
310,0.197
311,0.3415
312,0.3035
313,0.247
314,0.229
315,0.213
316,0.194
317,0.1925
318,0.2155
319,0.223
320,0.2985
321,0.28175
322,0.265
323,0.2005
324,0.1865
325,0.223
326,0.147
327,0.211
328,0.2155
329,0.225
330,0.2545
331,0.2975
332,0.2685
333,0.3
334,0.302
335,0.2865
336,0.316
337,0.3275
338,0.2655
339,0.259
340,0.2525
341,0.252
342,0.2645
343,0.4065
344,0.3415
345,0.31
346,0.3095
347,0.296
348,0.2955
349,0.317
350,0.251
351,0.254
352,0.2455
353,0.2405
354,0.2355
355,0.234
356,0.2245
357,0.226
358,0.288
359,0.2905
360,0.3015
361,0.3895
362,0.416
363,0.3795
364,0.295
365,0.264
366,0.238
367,0.24
368,0.253
369,0.286
370,0.346
371,0.3215
372,0.3115
373,0.387
374,0.362
375,0.3395
376,0.279
377,0.2595
378,0.2465
379,0.2435
380,0.278
381,0.308
382,0.326
383,0.3165
384,0.328
385,0.3545
386,0.37175
387,0.389
388,0.2845
389,0.2565
390,0.243
391,0.231
392,0.227
393,0.2225
394,0.2055
395,0.2705
396,0.2655
397,0.3095
398,0.275
399,0.291
400,0.275
401,0.2335
402,0.22
403,0.2015
404,0.2205
405,0.2585
406,0.3505
407,0.368
408,0.321
409,0.3125
410,0.374
411,0.352
412,0.2885
413,0.289
414,0.231
415,0.2365
416,0.2255
417,0.2275
418,0.2245
419,0.2935
420,0.2785
421,0.2435
422,0.3055
423,0.3675
424,0.3695
425,0.278
426,0.2265
427,0.205
428,0.227
429,0.2705
430,0.339
431,0.3085
432,0.3205
433,0.3075
434,0.2645
435,0.282
436,0.304
437,0.242
438,0.219
439,0.208
440,0.216
441,0.21
442,0.197
443,0.2025
444,0.279
445,0.264
446,0.2535
447,0.3565
448,0.419
449,0.387
450,0.2935
451,0.2615
452,0.25040063637995
453,0.251349976358013
454,0.258887302141677
455,0.270707372734607
456,0.286628237962727
457,0.304177102710532
458,0.318819288454191
459,0.325729744195561
460,0.323650084315607
461,0.312679101545951
462,0.295383267102938
463,0.276152276038527
464,0.260801110848644
465,0.251911283078433
466,0.252530873072067
467,0.262184515646095
468,0.278174390146254
469,0.29647015705937
470,0.313359914992105
471,0.323335285211238
472,0.324724656683464
473,0.316841032650241
474,0.301446725316005
475,0.282435934348269
476,0.264979716383955
477,0.25367237734027
478,0.250876144668339
479,0.257231918078175
480,0.271702364192467
481,0.289653260022162
482,0.307260736005249
483,0.32040514579241
484,0.325184851654021
485,0.320532094251223
486,0.308016279623312
487,0.289904218616483
488,0.271324648832764
489,0.257338647737836
490,0.250745533897415
491,0.253772914207251
492,0.265226460135771
493,0.282786374637867
494,0.301115064140052
495,0.316571771531689
496,0.324461540750428
497,0.323370821967368
498,0.313179935859058
499,0.296964832232373
500,0.277937819753924
501,0.26145755163108
502,0.251890275101916
503,0.251514317245892
