"moon","ntraps","nplots","BA","DM","DO","DS","NA","OL","OT","PB","PE","PF","PH","PL","PM","PP","RF","RM","RO","SF","SH","SO","total"
176,1176,24,1,27,8,1,1,0,12,0,7,7,0,0,0,12,0,2,0,0,1,0,79
177,1176,24,3,30,8,1,0,0,12,0,7,13,0,0,0,14,0,7,0,0,0,1,96
178,1176,24,5,34,7,1,2,2,18,0,10,15,0,0,0,4,0,57,0,1,0,7,163
179,1176,24,5,36,14,0,1,8,13,0,11,7,0,0,0,3,0,58,0,0,0,3,159
180,1176,24,3,28,10,1,1,1,12,0,5,1,1,0,0,2,0,26,0,1,0,1,93
181,1176,24,1,28,17,1,1,6,7,0,14,2,1,0,0,2,0,20,0,0,0,5,105
182,1176,24,2,25,12,1,0,3,3,0,11,4,1,0,0,4,0,34,0,0,0,2,102
183,1176,24,0,33,10,2,0,3,0,0,3,6,3,0,0,6,0,8,0,0,0,1,75
184,1176,24,0,28,5,1,0,3,1,0,1,3,1,0,0,12,0,3,0,0,0,3,61
185,1176,24,0,31,4,2,4,1,5,0,2,2,0,0,0,7,0,4,0,1,0,1,64
186,1176,24,0,24,9,2,1,3,3,0,2,4,0,0,0,22,0,8,0,0,0,1,79
187,1176,24,0,18,7,1,2,4,4,0,0,3,0,0,0,22,0,8,0,0,0,1,70
188,1176,24,0,19,8,2,1,5,2,0,1,7,0,0,0,30,0,3,0,0,0,2,80
189,1176,24,0,23,6,2,2,7,1,0,3,8,0,0,0,21,0,10,0,0,0,1,84
190,1176,24,0,29,5,1,2,7,4,0,0,14,0,0,0,3,0,19,0,0,0,2,86
192,1176,24,0,21,1,2,1,2,0,0,0,1,0,0,0,1,0,15,0,1,0,0,45
193,1176,24,0,17,4,2,2,3,1,0,2,3,0,0,0,0,0,16,0,0,0,0,50
194,1176,24,0,15,2,1,0,4,2,0,0,4,0,0,0,2,0,23,0,1,0,0,54
195,1176,24,0,43,2,2,2,4,3,0,1,8,0,0,0,6,0,12,0,0,0,0,83
196,1176,24,0,15,2,2,3,2,0,0,1,4,0,0,0,21,0,5,0,0,0,1,56
197,1176,24,0,18,5,3,1,3,4,0,1,2,0,0,0,11,0,2,0,0,0,1,51
198,1176,24,0,19,3,3,1,3,1,0,4,2,0,0,0,24,0,4,0,1,0,1,66
199,1176,24,0,19,1,1,2,4,0,0,1,8,0,0,0,16,0,6,0,1,0,1,60
200,1176,24,0,21,1,0,1,2,3,0,1,8,0,0,0,11,0,7,0,0,0,1,56
201,1176,24,0,18,2,1,3,2,0,0,0,12,0,0,0,6,0,6,0,0,0,0,50
202,1176,24,0,24,1,1,3,4,1,0,0,7,0,0,0,3,0,5,0,0,0,0,49
203,1176,24,0,24,3,1,4,1,4,0,2,7,0,0,0,0,0,8,0,0,0,1,55
204,1176,24,0,20,3,1,2,3,3,0,0,5,0,0,0,0,0,9,0,0,0,0,46
205,1176,24,0,26,1,0,1,2,7,0,0,2,0,0,0,0,0,3,0,0,0,2,44
206,1176,24,0,29,0,0,2,0,3,0,0,5,0,0,0,0,0,5,0,0,0,0,44
207,1176,24,0,26,1,1,1,0,4,0,0,3,0,0,0,0,0,8,0,0,0,0,44
208,1176,24,0,37,2,2,2,0,4,0,0,7,0,0,0,7,0,6,0,0,0,0,67
209,1176,24,0,24,2,1,1,1,2,0,0,6,0,0,0,5,0,3,0,0,0,1,46
210,1176,24,0,15,2,1,0,3,0,0,0,3,0,0,0,11,0,1,0,0,0,0,36
211,1176,24,0,17,3,1,0,1,1,0,0,2,0,0,0,10,0,4,0,0,0,0,39
212,1176,24,0,17,0,1,1,3,0,0,0,6,0,0,0,16,0,2,0,0,0,0,46
213,1176,24,0,17,0,1,0,4,0,0,0,6,0,0,0,13,0,2,0,0,0,0,43
214,1176,24,0,28,4,1,1,3,0,0,0,10,0,0,0,10,0,4,0,0,0,0,61
215,1176,24,0,28,4,0,1,2,0,0,1,14,0,0,0,2,0,1,0,0,0,0,53
216,1176,24,0,29,6,0,0,2,0,0,2,9,0,0,0,0,0,1,0,0,0,0,49
217,1176,24,0,25,6,0,0,2,0,0,0,5,0,0,0,0,0,2,0,0,0,0,40
218,1176,24,0,32,6,0,0,2,0,0,1,4,0,0,0,0,0,6,0,0,0,0,51
219,1176,24,0,30,6,0,0,2,0,0,0,6,0,0,0,1,0,7,0,0,0,0,52
220,1176,24,0,36,5,0,0,0,0,0,0,8,0,0,0,3,0,6,0,0,0,0,58
221,1176,24,0,28,6,0,0,0,1,0,2,4,0,0,0,6,0,7,0,0,0,0,54
222,1176,24,0,32,2,0,1,4,0,0,3,4,0,0,1,9,0,1,0,0,0,0,57
223,1176,24,0,33,1,0,0,2,1,0,0,4,0,0,1,17,0,6,0,0,0,0,65
224,1176,24,0,33,5,0,1,3,1,0,0,9,2,0,1,40,0,5,0,0,0,0,100
225,1176,24,0,31,1,0,0,4,6,0,1,9,0,0,0,60,0,5,0,0,0,0,117
226,1176,24,0,33,4,0,1,5,7,1,1,28,1,1,0,67,0,12,0,0,0,0,161
227,1176,24,0,41,2,0,2,3,9,3,4,37,0,0,0,51,0,4,0,0,0,0,156
228,1176,24,0,42,6,0,2,2,5,1,1,27,0,0,2,17,0,13,0,0,0,0,118
229,1176,24,0,40,9,0,1,0,8,2,1,13,0,2,2,6,0,7,0,0,0,0,91
230,1176,24,0,57,20,0,0,1,1,3,4,24,0,3,1,5,0,4,0,0,0,0,123
231,1176,24,0,58,17,0,0,3,4,2,7,34,0,0,6,11,0,8,0,0,0,0,150
232,1176,24,0,35,11,0,0,2,5,1,8,25,0,1,8,28,0,20,0,0,0,0,144
233,1176,24,0,48,30,0,0,3,3,0,7,58,0,1,10,40,0,25,0,0,0,0,225
234,1176,24,0,38,13,0,1,1,3,0,2,35,0,0,1,27,0,3,0,0,0,0,124
235,1176,24,0,35,18,0,0,2,5,2,2,36,0,0,4,41,0,3,0,0,0,0,148
236,1176,24,0,22,13,0,0,0,5,1,0,21,0,0,0,38,0,1,0,0,0,0,101
237,1176,24,0,23,6,0,0,0,4,2,0,13,0,0,0,57,0,0,0,0,0,0,105
238,1176,24,0,39,8,0,1,0,26,9,1,25,0,0,2,34,0,2,0,0,0,0,147
239,1176,24,0,41,9,0,2,1,22,8,2,27,0,1,1,16,0,0,0,0,0,0,130
240,1176,24,0,45,11,0,3,0,18,5,3,19,0,0,5,1,0,8,0,0,0,0,118
241,1176,24,0,51,18,0,0,0,12,6,0,13,0,0,12,0,0,16,0,0,0,0,128
243,1176,24,0,87,35,0,0,1,19,10,2,21,0,5,14,0,0,39,0,0,0,0,233
244,1176,24,0,91,28,0,1,1,20,8,7,34,0,0,16,15,0,33,0,0,0,0,254
245,1176,24,0,55,25,0,0,3,16,6,4,30,1,0,28,65,1,33,0,0,0,0,267
246,1176,24,0,43,29,0,6,1,29,19,7,21,1,0,31,52,0,9,0,0,0,3,251
247,1176,24,0,51,23,0,8,1,33,41,7,16,1,0,38,54,0,7,0,0,0,0,280
248,1176,24,0,49,27,1,4,1,27,45,6,25,0,3,29,77,0,9,0,0,2,0,305
