"newmoonnumber","date","mintemp","maxtemp","meantemp","precipitation","warm_precip","ndvi","warm_precip_3_moon","ndvi_13_moon","ordii_controls","source"
566,"2023-03-21",1.28695170084635,29.755850897895,15.1796080574157,0,0,0.162506903226988,1.778,2.58230451568919,3.64885614850878,"forecast"
567,"2023-04-20",-0.663061141967773,33.1483713785807,19.7591405992764,7.05862273913808,7.05862273913808,0.170999485769619,7.05862273913808,2.6180305123126,3.41795265002107,"forecast"
568,"2023-05-19",7.70324071248372,39.7139824761285,23.2428908171477,0.103696872107685,0.103696872107685,0.183402747304795,7.16231961124577,2.66568160865824,3.25147080649074,"forecast"
569,"2023-06-18",13.798639509413,39.5139990912543,27.9702317394973,21.7958587706089,21.7958587706089,0.194652529866405,28.9581783818547,2.71462715269976,3.11214000305018,"forecast"
570,"2023-07-17",15.4948976304796,35.8282682630751,25.5831170258699,92.1764936611056,92.1764936611056,0.201872470106548,114.076049303822,2.70037579259268,3.01200752427334,"forecast"
571,"2023-08-16",14.1835276285807,35.2060784233941,25.1805450907155,51.4345634218305,51.4345634218305,0.203290212527242,165.406915853545,2.59135691974234,2.92712656864521,"forecast"
572,"2023-09-14",10.5938042534722,35.4368209838867,22.6961760344329,15.5579030392691,15.5579030392691,0.198487039143844,159.168960122205,2.42469328839169,2.89635574471141,"forecast"
573,"2023-10-14",-2.4162048763699,26.9368235270182,13.0740219792118,11.269009281652,8.80077473521233,0.188731772529415,75.793241196312,2.34450775137525,2.85661626451378,"forecast"
574,"2023-11-12",-2.87096154714741,20.9879358345461,9.61233552800632,0,0,0.176448541156226,24.3586777744815,2.29498915303051,2.84504237001271,"forecast"
575,"2023-12-12",-5.83694418413442,17.0883100163507,6.09335999769884,0,0,0.164748507875843,8.80077473521233,2.28965344721929,2.80751726396918,"forecast"
576,"2024-01-10",-6.19983847992328,16.2117025085919,5.17225325984373,0,0,0.156613335167614,0,2.29253074097514,2.7637269005618,"forecast"
577,"2024-02-09",-5.65125391368377,19.3439181449354,7.04327188931485,0,0,0.154017991637531,0,2.30639217496523,2.73227185763084,"forecast"
578,"2024-03-09",-2.39056761365737,23.8534672286216,11.0825574412114,0,0,0.157417188874626,0,2.31318872518669,2.71686207112762,"forecast"
