"forecast_newmoon","newmoonnumber","mintemp","maxtemp","meantemp","precipitation","ndvi","source","date_made"
403,404,-7.95054787901146,28.8197217332803,8.903,28.654,0.231024861630095,"retroactive","2018-06-05"
403,405,-0.729957406411862,21.604799754903,11.525,17.101,0.260128929445031,"retroactive","2018-06-05"
403,406,4.1984065221254,23.449035917519,15.435,14.24,0.285438243943051,"retroactive","2018-06-05"
403,407,7.9601459129461,30.8837413962058,20.061,4.936,0.300946860569218,"retroactive","2018-06-05"
403,408,2.20589088987137,31.3877742867681,25.284,13.118,0.311547170417817,"retroactive","2018-06-05"
403,409,15.0958856484989,39.6713889861783,27.094,46.869,0.318771358579927,"retroactive","2018-06-05"
404,405,4.7158542155883,30.7396005052515,11.371,12.365,0.252788574503299,"retroactive","2018-06-05"
404,406,1.50809617949996,29.1333236648112,15.364,4.89,0.281808324428161,"retroactive","2018-06-05"
404,407,4.99404201058319,31.9728145246109,20.833,3.22,0.30153303651985,"retroactive","2018-06-05"
404,408,15.0908605974282,39.9002557938993,26.178,5.932,0.313588966721357,"retroactive","2018-06-05"
404,409,14.652339276305,36.9396979161602,27.457,57.485,0.320012214375581,"retroactive","2018-06-05"
404,410,16.2891273432446,27.6307077916246,25.96,53.025,0.321778561192133,"retroactive","2018-06-05"
405,406,-2.21192429425972,23.9783084873051,15.776,3.748,0.285789743003337,"retroactive","2018-06-05"
405,407,8.97541399888644,39.7965832180708,20.868,5.649,0.303498104607785,"retroactive","2018-06-05"
405,408,17.7893505547443,42.1005700567419,26.12,3.766,0.313264279136531,"retroactive","2018-06-05"
405,409,17.6545779479024,39.8070514501991,27.688,48.457,0.318901866617807,"retroactive","2018-06-05"
405,410,13.862819198964,38.0673352772508,26.396,44.294,0.321107081565769,"retroactive","2018-06-05"
405,411,10.0142448051869,41.9274546394077,23.954,22.294,0.316797683230023,"retroactive","2018-06-05"
406,407,4.52361384327075,34.5555590350014,20.339,4.1,0.348550462396022,"retroactive","2018-06-05"
406,408,2.52190732229891,40.7641841843081,26.239,5.51,0.335366142222245,"retroactive","2018-06-05"
406,409,17.89855361715,32.345590251561,27.585,51.933,0.314942449377851,"retroactive","2018-06-05"
406,410,18.264425921583,33.9548977853845,26.444,49.513,0.308221008734624,"retroactive","2018-06-05"
406,411,5.90641810358321,34.4562315683613,24.269,19.725,0.309047575967831,"retroactive","2018-06-05"
406,412,2.33594687814713,36.2274256183377,17.798,23.235,0.305179489326779,"retroactive","2018-06-05"
407,408,5.16262291952541,37.6045408829178,26.699,3.232,0.348953874074435,"retroactive","2018-06-05"
407,409,18.3956900256145,37.2153978059245,27.882,45.136,0.321624332462531,"retroactive","2018-06-05"
407,410,10.8471499578138,40.4645168023567,26.372,50.445,0.307043478188808,"retroactive","2018-06-05"
407,411,4.3328344178347,45.4027449313585,24.35,20.251,0.305133204872054,"retroactive","2018-06-05"
407,412,4.02536086321721,34.8988768531612,18.467,5.58,0.302791953080727,"retroactive","2018-06-05"
407,413,2.3465919741716,29.0308344502961,12.823,3.783,0.291681917289112,"retroactive","2018-06-05"
408,409,15.7228040195979,40.8301872927315,27.796,41.786,0.302028346036904,"retroactive","2018-06-05"
