"moon","ntraps","nplots","BA","DM","DO","DS","NA","OL","OT","PB","PE","PF","PH","PL","PM","PP","RF","RM","RO","SF","SH","SO","total"
28,196,4,0,0,0,0,0,2,0,0,1,1,0,0,0,1,0,0,0,0,0,0,5
29,196,4,0,0,0,0,0,3,1,0,1,1,0,0,0,1,0,1,0,0,0,0,8
30,196,4,0,0,0,0,0,0,2,0,3,4,0,0,0,0,0,2,0,0,0,0,11
31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,196,4,0,0,0,0,0,1,3,0,1,5,0,0,0,0,0,4,0,0,0,0,14
33,196,4,0,0,0,0,0,0,3,0,1,5,0,0,0,0,0,6,0,0,0,0,15
34,196,4,0,1,0,0,0,0,2,0,1,5,0,0,0,0,0,8,0,0,0,0,17
35,196,4,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,4,0,0,0,0,9
36,196,4,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5
37,196,4,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,4
38,196,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
39,196,4,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5
40,196,4,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,7
41,196,4,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,6
42,196,4,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,7
43,196,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,196,4,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,2,0,0,0,0,5
46,196,4,0,0,0,0,0,0,2,0,1,4,0,0,1,0,0,1,0,0,0,0,9
47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,196,4,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,5
49,196,4,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,1,0,0,0,0,5
50,196,4,0,0,0,0,1,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,5
51,196,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
52,196,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
53,196,4,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4
54,196,4,0,0,0,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,5
55,196,4,0,0,0,0,1,1,4,0,2,2,0,0,1,0,0,3,0,0,0,0,14
56,196,4,0,0,0,0,1,0,0,0,5,5,0,0,4,0,0,10,0,0,0,0,25
57,196,4,0,0,0,0,0,1,1,0,3,6,0,0,1,0,0,6,0,0,0,0,18
58,196,4,0,0,0,0,2,0,0,0,4,8,0,0,3,0,0,15,0,0,0,0,32
59,196,4,0,0,0,0,1,1,0,0,0,9,0,0,5,0,0,12,0,0,0,0,28
60,196,4,0,0,0,0,2,0,1,0,2,4,0,0,3,0,1,3,0,0,0,0,16
61,196,4,0,0,0,0,2,0,1,0,6,3,0,0,1,0,0,0,0,0,0,0,13
62,196,4,0,0,0,0,3,0,2,0,2,10,0,0,4,0,0,4,0,0,0,0,25
63,196,4,0,0,0,0,0,0,1,0,3,12,0,0,5,1,0,2,0,0,0,0,24
64,196,4,0,0,0,0,2,1,2,0,1,10,0,0,3,3,0,2,0,0,0,0,24
65,196,4,0,0,0,0,0,0,1,0,1,4,0,0,2,1,0,0,0,0,0,0,9
66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,196,4,0,0,0,0,1,0,1,0,1,8,0,0,2,0,1,8,0,0,0,0,22
68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,196,4,0,6,0,0,0,1,1,0,0,2,0,0,3,0,0,7,0,0,0,0,20
70,196,4,0,0,0,0,0,1,1,0,1,3,0,0,0,0,0,3,0,0,0,0,9
71,196,4,0,1,0,0,0,1,0,0,0,9,0,0,1,0,0,8,0,0,1,0,21
72,196,4,0,0,0,0,0,0,0,0,2,13,0,0,0,0,0,3,0,0,1,0,19
73,196,4,0,1,0,0,1,0,3,0,2,8,0,0,0,0,0,3,0,0,0,0,18
74,196,4,0,0,0,0,2,2,0,0,0,7,0,0,2,0,0,1,0,0,0,0,14
75,196,4,0,0,0,0,1,4,2,0,0,4,0,0,3,1,0,0,0,0,0,0,15
76,196,4,0,0,0,0,1,1,1,0,0,2,0,0,1,2,0,0,0,0,0,0,8
77,196,4,0,0,0,0,2,2,1,0,1,0,0,0,2,2,0,0,0,0,0,0,10
78,196,4,0,1,0,0,3,1,1,0,2,1,0,0,2,0,0,2,0,0,0,0,13
79,196,4,0,1,0,0,1,0,4,0,0,2,0,0,1,1,0,4,0,0,0,0,14
80,196,4,0,0,0,0,2,0,0,0,0,1,0,0,2,0,0,3,0,0,0,0,8
81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,196,4,0,1,0,0,3,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,12
83,196,4,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,1,0,0,0,0,5
84,196,4,0,0,0,0,2,0,2,0,1,2,0,0,1,3,0,0,0,0,0,0,11
85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,196,4,0,0,0,0,2,3,1,0,0,0,0,0,1,3,0,3,0,0,0,0,13
87,196,4,0,0,0,0,2,2,1,0,0,0,0,0,0,2,0,2,0,0,0,0,9
88,196,4,0,0,0,0,2,1,0,0,3,0,0,0,0,1,0,2,0,0,0,0,9
89,196,4,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
90,196,4,0,2,0,0,1,1,2,0,0,1,1,0,0,0,0,1,0,0,0,0,9
91,196,4,0,0,0,0,0,5,0,0,0,1,3,0,0,0,0,1,0,0,0,0,10
92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,196,4,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,2,0,0,0,0,5
94,196,4,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,6,0,0,0,0,10
95,196,4,0,2,0,0,1,1,0,0,0,1,0,0,0,0,0,3,0,0,0,0,8
96,196,4,0,5,0,0,1,0,0,0,2,0,0,0,3,0,0,2,0,0,0,0,13
97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
98,196,4,0,3,0,0,0,0,1,0,1,0,0,0,1,2,0,3,0,0,0,0,11
99,196,4,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,8
100,196,4,0,4,0,0,0,0,1,0,0,0,0,0,1,3,0,1,0,0,0,0,10
101,196,4,0,1,0,0,1,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,7
102,196,4,0,3,0,0,1,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,8
103,196,4,0,5,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8
104,196,4,0,2,0,0,1,2,0,0,0,0,1,0,0,1,0,4,0,0,0,0,11
105,196,4,0,3,0,0,2,1,0,0,2,0,1,0,0,1,0,4,0,0,0,0,14
106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,196,4,0,0,0,0,1,0,0,0,2,0,1,0,0,1,0,5,0,0,0,0,10
109,196,4,0,0,0,0,2,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,6
110,196,4,0,0,0,0,1,0,2,0,0,0,0,0,2,1,0,5,0,0,0,0,11
111,196,4,0,0,0,0,3,1,1,0,0,0,0,0,3,4,0,0,0,0,0,0,12
112,196,4,0,1,0,0,0,0,2,0,0,1,0,0,4,3,0,0,0,0,0,0,11
113,196,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3
114,196,4,0,0,0,0,1,2,1,0,0,1,0,0,0,3,0,0,0,0,0,0,8
115,196,4,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4
116,196,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,4
117,196,4,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,11
118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119,196,4,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,6,0,0,0,0,16
120,196,4,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,12,0,0,0,0,17
121,196,4,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,8,0,0,0,0,12
122,196,4,0,0,0,0,1,0,0,0,4,0,0,0,4,3,0,4,0,0,0,0,16
123,196,4,0,0,0,0,2,0,0,0,5,0,0,0,5,2,0,3,0,0,0,0,17
124,196,4,0,0,0,0,0,0,1,0,1,0,0,0,3,4,0,9,0,0,0,0,18
125,196,4,0,0,0,0,1,3,1,0,0,0,0,0,4,6,0,9,0,0,0,0,24
126,196,4,0,0,0,0,1,0,2,0,2,0,0,0,3,6,0,5,0,0,1,0,20
127,196,4,0,0,0,0,3,0,2,0,1,0,0,0,2,5,0,1,0,0,0,0,14
128,196,4,0,0,0,0,1,0,1,0,3,0,0,0,3,0,0,5,0,0,0,0,13
129,196,4,0,1,0,0,3,0,1,0,6,0,0,0,4,0,0,14,0,0,0,0,29
130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
131,196,4,0,1,0,0,2,0,1,0,2,0,0,0,2,0,0,17,0,0,0,0,25
132,196,4,0,1,0,0,1,0,1,0,3,0,0,0,4,0,1,14,0,0,2,0,27
133,196,4,0,2,0,0,1,0,2,0,2,0,0,0,4,1,1,7,0,0,2,0,22
134,196,4,0,0,0,0,0,0,1,0,3,0,0,0,1,2,0,5,0,0,2,0,14
135,196,4,0,0,0,0,1,0,2,0,1,0,0,0,0,4,0,1,0,0,2,0,11
136,196,4,0,0,0,0,2,0,3,0,1,0,0,0,0,4,1,3,0,0,1,0,15
137,196,4,0,0,0,0,2,0,0,0,1,0,0,0,1,3,0,0,0,0,1,0,8
138,196,4,0,0,0,0,2,0,0,0,0,0,0,0,0,9,0,1,0,0,1,0,13
139,196,4,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,1,0,0,0,0,5
140,196,4,0,0,0,0,0,0,4,0,1,0,0,0,0,1,0,0,0,0,2,0,8
141,196,4,0,0,0,0,0,5,3,0,2,0,0,0,0,0,1,3,0,0,4,0,18
142,196,4,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,10,0,0,1,0,15
143,196,4,0,0,0,0,2,0,6,0,1,0,0,0,1,0,0,13,0,0,2,0,25
144,196,4,0,1,0,0,2,3,5,0,3,0,0,0,2,0,0,13,0,0,2,0,31
145,196,4,0,0,0,0,1,0,1,0,4,0,0,0,1,0,1,12,0,0,4,0,24
146,196,4,0,0,0,0,1,0,0,0,1,0,0,0,0,4,0,13,0,0,3,0,22
147,196,4,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,10,0,0,5,0,23
148,196,4,0,0,0,0,1,0,0,0,6,0,0,0,1,0,0,9,0,0,6,0,23
149,196,4,0,0,0,0,2,0,1,0,2,0,0,0,0,1,0,7,0,0,5,0,18
150,196,4,0,0,0,0,1,0,1,0,1,0,0,0,0,2,0,4,0,0,2,0,11
151,196,4,0,0,0,0,1,0,1,0,1,0,0,0,0,2,0,0,0,0,4,0,9
152,196,4,0,0,0,0,1,0,5,0,3,0,0,0,0,1,2,2,0,0,1,0,15
153,196,4,2,0,0,0,1,0,4,0,3,1,0,0,0,2,0,11,0,1,0,0,25
154,196,4,1,0,0,0,2,0,1,0,5,2,0,0,0,0,0,17,0,1,0,0,29
155,196,4,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,5,0,2,1,0,11
156,196,4,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,8,0,2,0,0,15
157,196,4,0,0,0,0,0,0,3,0,2,2,0,0,0,0,0,10,0,0,2,0,19
158,196,4,0,0,0,0,1,0,1,0,3,4,0,0,0,0,0,7,0,0,2,0,18
159,196,4,1,0,0,0,0,0,1,0,3,2,0,0,0,1,0,11,0,0,1,0,20
160,196,4,1,0,0,0,0,0,0,0,2,3,0,0,0,1,0,5,0,2,1,0,15
161,196,4,1,0,0,0,0,0,0,0,0,3,0,0,0,1,0,3,0,1,0,0,9
162,196,4,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,3,0,0,0,0,6
163,196,4,1,0,0,0,0,0,2,0,0,4,0,0,0,1,0,2,0,0,0,0,10
164,196,4,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,3
165,196,4,1,0,0,0,0,0,1,0,1,3,0,0,0,1,0,3,0,0,0,0,10
166,196,4,0,1,0,0,0,0,4,0,3,2,0,0,0,0,0,7,0,0,0,0,17
167,196,4,2,2,0,0,0,0,3,0,2,3,0,0,0,0,0,8,0,0,0,0,20
168,196,4,1,1,0,0,0,0,2,0,1,1,0,0,0,0,0,11,0,0,0,0,17
169,196,4,1,2,0,0,0,0,3,0,0,1,0,0,0,0,0,8,0,0,0,0,15
170,196,4,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,1,0,0,13
