"newmoonnumber","date","mintemp","maxtemp","meantemp","precipitation","warm_precip","ndvi","warm_precip_3_month","ndvi_12_month","spectab_controls","source"
32,1980-01-17,-0.111764705882353,14.9470588235294,5.38235294117647,3.81,3.81,NA,NA,NA,4,"historic"
33,1980-02-16,1.95,13.3833333333333,5.16666666666667,38.862,8.382,NA,NA,NA,2,"historic"
34,1980-03-16,4.79310344827586,19.7586206896552,10.651724137931,7.874,5.08,NA,17.272,NA,7,"historic"
35,1980-04-14,4.32758620689655,20.3448275862069,11.6896551724138,0,0,NA,13.462,NA,7,"historic"
36,1980-05-14,10.5333333333333,26.4333333333333,18.67,1.016,1.016,NA,6.096,NA,10,"historic"
37,1980-06-12,13.6206896551724,32.6551724137931,25.6344827586207,8.382,8.382,NA,9.398,NA,11,"historic"
38,1980-07-11,20.948275862069,37.7241379310345,28.3551724137931,13.462,13.462,NA,22.86,NA,10,"historic"
39,1980-08-10,20.5166666666667,35.3333333333333,25.71,75.438,32.512,NA,54.356,NA,8,"historic"
40,1980-09-09,18,30.8666666666667,22.02,47.498,38.862,NA,84.836,NA,8,"historic"
41,1980-10-08,15.9310344827586,30.948275862069,18.7551724137931,39.624,39.624,NA,110.998,NA,6,"historic"
42,1980-11-07,7.63333333333333,22.3,9.83333333333333,1.778,0.508,NA,78.994,NA,5,"historic"
43,1980-12-07,2.92666666666667,17.0466666666667,4.43333333333333,14.478,0,NA,40.132,NA,4,"historic"
44,1981-01-06,2.48333333333333,17.4166666666667,3.62666666666667,2.286,0,NA,0.508,NA,4,"historic"
45,1981-02-04,0.686206896551724,12.8241379310345,3.92413793103448,30.226,12.192,NA,12.192,NA,4,"historic"
46,1981-03-06,4.01,18.26,8.71666666666667,35.814,10.668,NA,22.86,NA,6,"historic"
47,1981-04-04,5.3551724137931,19.4310344827586,10.9551724137931,16.51,6.604,NA,29.464,NA,6,"historic"
48,1981-05-03,10.8275862068966,27.1034482758621,19.4310344827586,2.794,2.794,NA,20.066,NA,7,"historic"
49,1981-06-02,9.98333333333333,28.5066666666667,22.8724137931034,3.048,3.048,NA,12.446,NA,10,"historic"
50,1981-07-01,13.2172413793103,35.7103448275862,28.7758620689655,77.724,77.724,NA,83.566,NA,5,"historic"
51,1981-07-30,14,32.8965517241379,24.0793103448276,71.12,71.12,NA,151.892,NA,4,"historic"
52,1981-08-29,13.74,33.09,24.0066666666667,23.114,12.954,NA,161.798,NA,3,"historic"
53,1981-09-27,12.5689655172414,31.8310344827586,19.3655172413793,53.848,51.308,NA,135.382,NA,3,"historic"
54,1981-10-27,8.12333333333333,27.4466666666667,14.63,29.972,25.146,NA,89.408,NA,4,"historic"
55,1981-11-26,4.65,24.6666666666667,7.94333333333333,1.016,0,NA,76.454,NA,3,"historic"
56,1981-12-26,1.11666666666667,15.6,4.90333333333333,33.528,0.508,NA,25.654,NA,6,"historic"
57,1982-01-24,0.0517241379310345,13.4310344827586,4.26551724137931,25.146,6.096,NA,6.604,NA,2,"historic"
58,1982-02-23,1,15.8666666666667,6.92333333333333,6.858,1.524,NA,8.128,NA,5,"historic"
59,1982-03-25,3.11666666666667,18.3166666666667,11.59,25.908,0,NA,7.62,NA,4,"historic"
60,1982-04-23,5.74827586206897,22.4137931034483,17.0068965517241,4.572,4.572,NA,6.096,NA,5,"historic"
61,1982-05-22,10.4655172413793,26.051724137931,20.7965517241379,9.652,9.652,NA,14.224,NA,4,"historic"
62,1982-06-21,14.4333333333333,32.45,27.4233333333333,1.016,1.016,NA,15.24,NA,8,"historic"
63,1982-07-20,17.6689655172414,33.5586206896552,27.1896551724138,25.4,25.4,NA,36.068,NA,8,"historic"
64,1982-08-18,17.4827586206897,31.448275862069,23.9689655172414,41.148,41.148,NA,67.564,NA,6,"historic"
65,1982-09-17,15.7166666666667,29.6833333333333,22.39,96.52,89.408,NA,155.956,NA,6,"historic"
66,1982-10-16,10.5344827586207,27.051724137931,17.448275862069,13.716,0,NA,130.556,NA,6,"historic"
67,1982-11-15,5.81666666666667,21.6,11.4733333333333,21.336,17.78,NA,107.188,NA,7,"historic"
68,1982-12-15,1.13333333333333,11.0166666666667,4.33666666666667,128.734,0,NA,17.78,NA,8,"historic"
69,1983-01-13,-2.5,10.0758620689655,0.424137931034483,57.664,0,NA,17.78,NA,8,"historic"
70,1983-02-12,-1.1,11.0166666666667,5.13333333333333,30.24,0,NA,0,NA,2,"historic"
71,1983-03-14,1.62333333333333,16.31,10.0896551724138,12.954,11.43,NA,11.43,NA,4,"historic"
72,1983-04-13,0.393333333333333,13.6766666666667,9.06,30.226,0,NA,11.43,NA,8,"historic"
73,1983-05-12,5.81034482758621,23.5344827586207,18.8827586206897,0,0,NA,11.43,NA,4,"historic"
74,1983-06-10,11.6896551724138,29.3206896551724,23.3310344827586,0.254,0.254,NA,0.254,NA,7,"historic"
75,1983-07-10,15.35,32.9166666666667,27.8133333333333,30.988,30.988,NA,31.242,NA,2,"historic"
76,1983-08-08,17.6896551724138,31.7241379310345,24.9965517241379,61.214,61.214,NA,92.456,NA,5,"historic"
77,1983-09-06,18.9172413793103,32.2724137931034,23.4586206896552,5.08,5.08,NA,97.282,NA,7,"historic"
78,1983-10-06,16.1333333333333,27.5,19.1689655172414,193.13,192.83,NA,259.124,NA,6,"historic"
79,1983-11-04,12.051724137931,23.0172413793103,13.3586206896552,41.148,41.148,NA,239.058,NA,8,"historic"
80,1983-12-04,4.33333333333333,17.7033333333333,6.79666666666667,49.276,0,NA,233.978,NA,8,"historic"
81,1984-01-02,1.08965517241379,14.0689655172414,4.96206896551724,8.636,3.556,NA,44.704,NA,6,"historic"
82,1984-02-01,-0.366666666666667,12.5833333333333,4.43666666666667,21.128,0.508,NA,4.064,NA,3,"historic"
83,1984-03-02,0.166666666666667,16.1166666666667,7.88333333333333,0,0,NA,4.064,NA,4,"historic"
84,1984-04-01,4.46666666666667,19.9166666666667,13.6333333333333,0,0,NA,0.508,NA,4,"historic"
85,1984-04-30,6.48275862068965,22.2931034482759,17.3758620689655,3.556,2.794,0.166699187565559,2.794,NA,2,"historic"
86,1984-05-30,13.47,30.2333333333333,25.83,2.54,2.286,0.145935351224863,5.08,NA,1,"historic"
87,1984-06-28,15.651724137931,30.1551724137931,24.4793103448276,21.336,21.336,0.134992344621853,26.416,NA,0,"historic"
88,1984-07-28,16.0233333333333,30.6633333333333,23.7566666666667,39.624,39.624,0.149520854371352,63.246,NA,2,"historic"
89,1984-08-26,14.8413793103448,28.1034482758621,22.6655172413793,78.74,78.74,0.151467462929534,139.7,NA,0,"historic"
90,1984-09-24,15.0551724137931,29.1724137931034,21.2275862068966,21.082,21.082,0.153414071487717,139.446,NA,1,"historic"
91,1984-10-24,6.64333333333333,20.79,13.48,56.134,37.592,0.155360680045899,137.414,NA,1,"historic"
92,1984-11-22,4.68275862068965,19.2,7.88965517241379,2.032,2.032,0.157307288604081,60.706,NA,0,"historic"
93,1984-12-22,0.126666666666667,11.3633333333333,3.46333333333333,72.39,26.924,0.159613191670043,66.548,NA,0,"historic"
94,1985-01-20,-0.0689655172413793,10.2758620689655,2.30689655172414,30.734,25.146,0.153679487852616,54.102,NA,0,"historic"
95,1985-02-19,1.05666666666667,11.57,4.19,28.962,0,0.164461409493557,52.07,NA,0,"historic"
96,1985-03-21,3.93333333333333,15.4333333333333,10.1433333333333,31.496,21.844,0.175243331134498,46.99,1.86769466100157,0,"historic"
97,1985-04-19,7.63793103448276,22.5172413793103,16.4172413793103,1.27,0,0.186025252775439,21.844,1.88702072621145,0,"historic"
98,1985-05-19,9.91666666666667,23.9666666666667,18.9,26.162,0,0.176805916795558,21.844,1.91789129178215,0,"historic"
99,1985-06-18,15.9333333333333,31.4,26.0827586206897,0,0,0.170810395028098,0,1.95370934218839,2,"historic"
100,1985-07-17,18.3620689655172,33.051724137931,27.851724137931,46.228,19.304,0.164814873260639,19.304,1.96900336107768,2,"historic"
101,1985-08-16,16.46,28.0833333333333,23.4133333333333,163.068,123.952,0.158819351493179,143.256,1.97635524964132,2,"historic"
102,1985-09-14,16.5344827586207,29.4655172413793,22.8678571428571,20.828,20.828,0.215515995396877,164.084,2.03845717355049,1,"historic"
103,1985-10-13,12.1896551724138,23.0172413793103,15.9655172413793,99.568,97.028,0.201042493297084,241.808,2.08413898680167,3,"historic"
104,1985-11-12,8.22666666666667,20.0133333333333,10.9133333333333,63.246,62.738,0.199301531781428,180.594,2.12613322997902,4,"historic"
105,1985-12-11,2.56551724137931,14.4862068965517,5.36896551724138,10.922,4.572,0.182047380460923,164.338,2.1485674187699,3,"historic"
106,1986-01-10,-3.17333333333333,15.0266666666667,1.97666666666667,9.144,0,0.16180513967427,67.31,2.15669307059155,3,"historic"
107,1986-02-08,0.4,21.1862068965517,5.73448275862069,23.876,1.524,0.138246901730996,6.096,2.13047856282899,4,"historic"
108,1986-03-10,4.57666666666667,19.8833333333333,10.9233333333333,1.27,0,0.153432516741954,1.524,2.10866774843645,4,"historic"
109,1986-04-08,5.43448275862069,20.0551724137931,13.5689655172414,33.288,0.254,0.140064346474903,1.778,2.06270684213591,4,"historic"
110,1986-05-08,9.52666666666667,25.6966666666667,19.2766666666667,1.524,1.524,0.0890947752220688,1.778,1.97499570056242,3,"historic"
111,1986-06-07,13.4333333333333,28.4,23.1333333333333,10.414,10.414,0.138178178284779,12.192,1.9423634838191,1,"historic"
112,1986-07-06,17.4137931034483,30.7931034482759,25.4379310344828,18.288,18.288,0.138572975420941,30.226,1.9161215859794,1,"historic"
113,1986-08-05,17.65,29.8166666666667,24.5733333333333,57.404,34.29,0.166277809923532,62.992,1.92358004440975,2,"historic"
114,1986-09-04,17.0833333333333,28.65,22.1333333333333,67.056,66.802,0.195499318142123,119.38,1.903563367155,2,"historic"
115,1986-10-03,13.6724137931034,26.8827586206897,19.148275862069,36.576,36.576,0.196964827464341,137.668,1.89948570132226,2,"historic"
