"newmoonnumber","date","mintemp","maxtemp","meantemp","precipitation","warm_precip","ndvi","warm_precip_3_month","ndvi_12_month","spectab_controls","source"
116,1986-11-01,7.87931034482759,21.6655172413793,11.9965517241379,62.484,62.484,0.180087440477157,165.862,1.88027161001799,2,"historic"
117,1986-12-01,2.1,14.08,6.15,6.096,6.096,0.127106268028577,105.156,1.82533049758564,2,"historic"
118,1986-12-30,1.81034482758621,9.96551724137931,2.32413793103448,11.176,0,0.150965880128243,68.58,1.81449123803961,2,"historic"
119,1987-01-29,-3.7,11.77,2.36333333333333,0.508,0,0.13800163564353,6.096,1.81424597195215,3,"historic"
120,1987-02-27,1.76896551724138,15.6241379310345,5.81034482758621,25.676,2.794,0.145368338466782,2.794,1.80618179367698,3,"historic"
121,1987-03-29,4.84666666666667,18.2633333333333,9.85666666666667,3.556,0,0.123183388843142,2.794,1.78930083604522,2,"historic"
122,1987-04-27,8.19655172413793,22.1758620689655,16.0172413793103,17.78,15.494,0.186233795543276,18.288,1.88643985636642,3,"historic"
123,1987-05-27,11.54,25.72,18.2366666666667,9.652,9.652,0.181242027152547,25.146,1.92950370523419,2,"historic"
124,1987-06-25,14.7793103448276,30.5793103448276,24.9379310344828,7.112,7.112,0.153756717632076,32.258,1.94468744744533,3,"historic"
125,1987-07-25,19.1933333333333,34.4433333333333,27.5766666666667,18.288,17.78,0.148852194375029,34.544,1.92726183189682,2,"historic"
126,1987-08-24,19.72,31.1633333333333,22.33,106.426,86.614,0.204076970316754,111.506,1.93583948407145,2,"historic"
127,1987-09-22,14.2,27.5379310344828,19.248275862069,45.72,44.45,0.239329060049445,148.844,1.97820371665656,2,"historic"
128,1987-10-22,11.57,25.8033333333333,16.0433333333333,29.718,29.21,0.17258757766942,160.274,1.97070385384882,2,"historic"
129,1987-11-20,9.91034482758621,23.1241379310345,9.46551724137931,7.62,5.334,0.158601710740715,78.994,2.00219929656096,1,"historic"
130,1987-12-20,3.88666666666667,17.0166666666667,3.99,38.354,30.48,0.144615843812009,65.024,1.99584926024472,1,"historic"
131,1988-01-18,3.04827586206897,14.3758620689655,2.7448275862069,30.48,15.24,0.130629976883304,51.054,1.9884776014845,1,"historic"
132,1988-02-17,-1.16333333333333,13.4433333333333,4.41333333333333,24.638,0,0.116644109954599,45.72,1.95975337297231,1,"historic"
133,1988-03-17,5.65862068965517,19.6413793103448,9.82758620689655,17.78,6.096,0.14346314448015,21.336,1.98003312860932,1,"historic"
134,1988-04-16,12.9,27.8733333333333,15.7241379310345,16.51,16.51,0.142674078053188,22.606,1.93647341111923,1,"historic"
135,1988-05-15,13.2827586206897,27.3620689655172,19.9034482758621,6.35,5.588,0.153335937280137,28.194,1.90856732124682,2,"historic"
136,1988-06-14,17.0166666666667,31.4766666666667,25.73,0.254,0.254,0.129356199018796,22.352,1.88416680263354,2,"historic"
137,1988-07-13,18.6551724137931,32.3103448275862,25.1586206896552,68.072,68.072,0.143224419619804,73.914,1.87853902787832,2,"historic"
138,1988-08-12,20.1633333333333,30.9,22.72,128.27,120.904,0.205185111821217,189.23,1.87964716938278,2,"historic"
139,1988-09-10,17.1103448275862,29.748275862069,20.7034482758621,64.008,64.008,0.277181104205688,252.984,1.91749921353903,0,"historic"
140,1988-10-10,14.0933333333333,27.4833333333333,16.3533333333333,38.862,25.654,0.239606353706847,210.566,1.98451798957645,1,"historic"
141,1988-11-09,12.1833333333333,25.5966666666667,11.6533333333333,50.546,50.546,0.162904252082196,140.208,1.98882053091793,1,"historic"
142,1988-12-08,4.16206896551724,17.4896551724138,3.10689655172414,8.89,0,0.1590326082796,76.2,2.00323729538553,1,"historic"
143,1989-01-07,1.83,13.9266666666667,1.74137931034483,42.164,0.508,0.155160964477004,51.054,2.02776828297923,1,"historic"
144,1989-02-06,2.39,15.19,2.70333333333333,8.636,0,0.151289320674408,0.508,2.06241349369903,0,"historic"
145,1989-03-07,5.98965517241379,18.8827586206897,8.7551724137931,7.924,3.362,0.147417676871812,3.87,2.0663680260907,1,"historic"
146,1989-04-05,7.66551724137931,24.7965517241379,16.2896551724138,14.224,14.224,0.143546033069216,17.586,2.06723998110672,1,"historic"
147,1989-05-05,13.7566666666667,29.0566666666667,22.11,0,0,0.13967438926662,17.586,2.05357843309321,0,"historic"
148,1989-06-03,14.7758620689655,30.3413793103448,24.3241379310345,2.794,2.794,0.130747542713673,17.018,2.05496977678808,0,"historic"
149,1989-07-02,18.3651724137931,36.2158620689655,28.3407416003537,0,0,0.126459510325729,2.794,2.03820486749401,0,"historic"
150,1989-08-01,19.488,34.5856666666667,26.6381805555556,93.218,93.218,0.135067923894402,96.012,1.96808767956719,0,"historic"
151,1989-08-30,17.7972413793103,30.9879310344828,23.9656034482759,24.13,24.13,0.304356042499078,117.348,1.99526261786058,0,"historic"
152,1989-09-29,15.3376666666667,31.2596666666667,22.9893055555556,15.494,15.494,0.251401240185768,132.842,2.00705750433951,1,"historic"
153,1989-10-29,10.5063,26.1833333333333,17.9765861111111,28.702,28.702,0.217629928584163,68.326,2.06178318084147,1,"historic"
154,1989-11-28,4.2106,21.4543333333333,12.4115513888889,0,0,0.192319587668752,44.196,2.09507016023062,1,"historic"
155,1989-12-27,-1.39455172413793,14.9575862068966,5.92030028735632,0,0,0.167009246753341,28.702,2.10691844250696,2,"historic"
156,1990-01-26,-0.9246,14.0472,5.96981805555556,12.7,1.27,0.14169890583793,1.27,2.09732802767048,1,"historic"
157,1990-02-25,-0.523133333333333,15.7903333333333,7.35873888888889,16.764,1.016,0.116388564922518,2.286,2.06629891572119,1,"historic"
158,1990-03-26,5.586,20.9896551724138,13.2235445402299,8.636,8.636,0.091078224007107,10.922,2.01383110665908,1,"historic"
159,1990-04-24,9.36168965517241,24.7786206896552,17.3918376436782,3.556,3.556,0.104751843610108,13.208,1.97890856100257,1,"historic"
160,1990-05-24,12.1162666666667,28.278,20.9731541666667,3.556,3.556,0.113021688714915,15.748,1.96118270700381,1,"historic"
161,1990-06-22,17.5986206896552,35.0110344827586,27.108117816092,7.874,7.874,0.115032197092117,14.986,1.9497553937702,1,"historic"
162,1990-07-21,20.4472413793103,34.2537931034483,26.9062931034483,70.866,70.866,0.134831537404968,82.296,1.94951900728076,1,"historic"
163,1990-08-20,17.1163333333333,29.2416666666667,22.6538472222222,83.058,72.39,0.193543087496714,151.13,1.8387060522784,1,"historic"
164,1990-09-18,17.7148275862069,32.23,24.7725143678161,7.112,7.112,0.252254637588461,150.368,1.83955944968109,0,"historic"
165,1990-10-18,12.6641,26.2193333333333,19.0411194444444,53.086,53.086,0.186457067151852,132.588,1.80838658824878,0,"historic"
166,1990-11-17,6.1551,22.342,14.0908083333333,30.48,5.08,0.178389897510856,65.278,1.79445689809089,0,"historic"
167,1990-12-16,2.67744827586207,17.1348275862069,9.2617341954023,31.75,16.002,0.170358194659889,74.168,1.79780584599744,0,"historic"
168,1991-01-15,0.130333333333333,12.5542,5.67940138888889,26.924,12.7,0.162326491808922,33.782,1.81843343196843,0,"historic"
169,1991-02-14,1.02376666666667,14.7855666666667,7.42204861111111,27.432,16.002,0.154294788957955,44.704,1.85633965600386,0,"historic"
170,1991-03-16,3.37366666666667,17.915,10.7348180555556,22.098,15.494,0.146263086106988,44.196,1.91152451810375,0,"historic"
171,1991-04-14,3.96593103448276,20.7613793103448,12.7237270114943,13.208,3.81,0.138231383256021,35.306,1.94500405774966,0,"historic"
172,1991-05-13,8.91720689655172,26.5627586206897,18.5229181034483,0,0,0.164657447662509,19.304,1.99663981669725,0,"historic"
173,1991-06-12,13.5393333333333,30.237,22.3005555555556,12.192,12.192,0.14257406210577,16.002,2.02418168171091,0,"historic"
174,1991-07-11,17.6748275862069,34.8793103448276,26.5267816091954,27.686,20.574,0.142366210799166,32.766,2.0317163551051,0,"historic"
175,1991-08-09,18.4962068965517,32.17,24.8137643678161,55.372,55.372,0.152454426105582,88.138,1.99062769371397,0,"historic"
176,1991-09-08,17.8943333333333,32.18,24.4948194444444,36.068,28.448,0.219089619281589,104.394,1.9574626754071,0,"historic"
177,1991-10-07,14.4896551724138,28.6089655172414,21.2087068965517,34.29,27.94,0.159496462851435,111.76,1.93050207110668,0,"historic"
178,1991-11-06,1.94166666666667,20.958,14.2900696286472,18.7,3.1,0.156891295051841,59.488,1.90900346864767,0,"historic"
179,1991-12-05,-3.54827586206897,12.6655172413793,6.76551724137931,32.6,18.3,0.158365706646558,49.34,1.89701098063434,0,"historic"
180,1992-01-04,2.76476666666667,12.4250666666667,7.03037916666667,104.394,46.736,0.159840118241275,68.136,1.89452460706669,0,"historic"
181,1992-02-03,-0.3741,10.8266666666667,4.89482222222222,26.67,5.842,0.161314529835993,70.878,1.90154434794473,0,"historic"
182,1992-03-04,3.4268,16.2276666666667,9.4986875,20.574,20.32,0.16278894143071,72.898,1.91807020326845,0,"historic"
183,1992-04-02,5.08931034482759,18.9703448275862,11.8828275862069,34.544,30.226,0.164263353025427,56.388,1.94410217303786,0,"historic"
184,1992-05-02,10.4631666666667,27.1796666666667,19.1004875,3.81,3.81,0.230163272331322,54.356,2.00960799770667,0,"historic"
185,1992-05-31,12.181724137931,26.2979310344828,18.8003735632184,66.294,60.96,0.200472810943726,94.996,2.06750674654463,1,"historic"
186,1992-06-30,16.3103333333333,34.1686666666667,25.7697361111111,10.16,10.16,0.199622301134082,74.93,2.12476283687954,1,"historic"
187,1992-07-29,18.4755172413793,34.4048275862069,26.2771982758621,52.07,52.07,0.196479978862469,123.19,2.16878838963643,0,"historic"
188,1992-08-27,18.0462068965517,32.1551724137931,24.6574425287356,54.864,54.864,0.134523789529263,117.094,2.0842225598841,1,"historic"
189,1992-09-26,9.15633333333333,27.0173333333333,24.2765092592593,42.908,34,0.139559935519308,140.934,2.06428603255197,1,"historic"
190,1992-10-25,12.6520689655172,28.9565517241379,20.2094827586207,5.08,5.08,0.176925417010462,93.944,2.0843201545106,1,"historic"
191,1992-11-24,4.88133333333333,19.517,11.6844597222222,11.938,5.334,0.153225105785688,44.414,2.07917955364973,1,"historic"
192,1992-12-23,-0.878034482758621,11.8664827586207,4.94784913793103,45.466,18.034,0.12203251482211,28.448,2.04137195023056,1,"historic"
193,1993-01-22,3.90596666666667,14.199,8.73092777777778,60.706,52.07,0.141991249154899,75.438,2.02204866954947,1,"historic"
194,1993-02-21,1.78616666666667,15.364,8.03882222222222,17.526,13.208,0.148317109804212,83.312,2.00757683792297,1,"historic"
195,1993-03-23,4.11956666666667,19.787,11.9288319444444,1.778,0.508,0.151173326947439,65.786,1.99448681184498,1,"historic"
196,1993-04-21,6.24648275862069,23.3841379310345,15.1786465517241,5.334,5.334,0.193208344848061,19.05,1.95753188436172,0,"historic"
197,1993-05-21,12.727,29.6506666666667,21.6803055555556,0.762,0.762,0.167187140106184,6.604,1.92424621352418,0,"historic"
198,1993-06-19,15.6593103448276,33.2903448275862,25.0129597701149,10.414,10.414,0.154765085575991,16.51,1.87938899796609,0,"historic"
199,1993-07-19,19.6953333333333,34.9333333333333,27.2280277777778,16.51,16.51,0.140408486322099,27.686,1.82331750542572,0,"historic"
200,1993-08-17,19.7827586206897,34.8727586206897,26.8926724137931,0,0,0.139216582064231,26.924,1.82801029796068,0,"historic"
201,1993-09-15,17.1868965517241,30.3503448275862,23.2730603448276,47.498,46.736,0.157034993159464,63.246,1.84548535560084,0,"historic"
202,1993-10-15,14.3173333333333,30.2946666666667,22.0568055555556,2.032,2.032,0.161238653841818,48.768,1.8297985924322,0,"historic"
203,1993-11-13,5.87010344827586,21.3603448275862,13.327617816092,8.636,5.334,0.146647926112215,54.102,1.82322141275872,0,"historic"
204,1993-12-13,2.3584,17.4626666666667,9.11854305555556,26.924,2.032,0.127912375195343,9.398,1.82910127313196,0,"historic"
205,1994-01-11,0.358448275862069,14.5979310344828,6.88422988505747,10.922,0,0.113628843658704,7.366,1.80073886763576,0,"historic"
206,1994-02-10,0.405933333333333,15.5697,7.38835833333333,17.018,12.954,0.105520168762937,14.986,1.75794192659449,0,"historic"
207,1994-03-12,3.99663333333333,18.9876666666667,11.2886097222222,3.048,1.016,0.110851547247466,13.97,1.71762014689451,0,"historic"
208,1994-04-10,7.50241379310345,22.2665517241379,14.9931451149425,12.192,3.81,0.104079883814518,17.78,1.62849168586097,0,"historic"
209,1994-05-10,10.3977333333333,26.9113333333333,19.1400375,3.556,3.556,0.11173254714045,8.382,1.57303709289523,0,"historic"
210,1994-06-09,15.665,32.485,24.5587638888889,3.048,0.762,0.114720868235202,8.128,1.53299287555445,0,"historic"
211,1994-07-08,21.8196551724138,37.6572413793103,30.0727873563218,3.556,3.556,0.114143183698252,7.874,1.5067275729306,0,"historic"
212,1994-08-07,20.9743333333333,36.2166666666667,28.4607361111111,18.796,18.796,0.113930209685671,23.114,1.48144120055204,0,"historic"
213,1994-09-05,19.7155172413793,33.7624137931034,26.1839798850575,47.244,39.116,0.107007701054067,61.468,1.43141390844664,0,"historic"
214,1994-10-04,17.0193103448276,31.3741379310345,23.9333764367816,11.684,11.684,0.144552727411583,69.596,1.41472798201641,0,"historic"
215,1994-11-03,10.1589666666667,24.9003333333333,17.3371333333333,13.208,13.208,0.122554974732168,64.008,1.39063503063636,0,"historic"
216,1994-12-02,2.88762068965517,17.2265517241379,9.73362068965517,63.754,61.722,0.100030137871354,86.614,1.36275279331237,0,"historic"
217,1995-01-01,2.30163333333333,13.775,7.52309861111111,77.47,45.466,0.12549018521449,120.396,1.37461413486816,0,"historic"
218,1995-01-30,1.40268965517241,13.6502068965517,6.92859626436782,21.082,17.018,0.132041776411429,124.206,1.40113574251665,0,"historic"
219,1995-03-01,5.00006666666667,18.404,11.3269277777778,21.336,21.336,0.226775330179968,83.82,1.51705952544915,0,"historic"
220,1995-03-30,4.60586206896552,20.1531034482759,12.5276752873563,16.002,16.002,0.316364119283957,54.356,1.72934376091859,0,"historic"
221,1995-04-29,6.0636,23.7173333333333,15.3380125,1.524,0,0.293348942837374,37.338,1.91096015661551,0,"historic"
222,1995-05-29,11.2770666666667,27.761,20.4020097222222,2.54,2.286,0.192513852463088,18.288,1.9887531408434,0,"historic"
223,1995-06-27,16.1503448275862,33.7672413793103,25.8065373563218,0,0,0.181814753998443,2.286,2.05642471114359,0,"historic"
224,1995-07-27,19.5943333333333,35.155,27.441875,39.116,39.116,0.185425452167197,41.402,2.12791995362512,0,"historic"
225,1995-08-25,20.501724137931,35.5748275862069,27.9051436781609,27.94,27.94,0.176543245869945,67.056,2.197455498441,0,"historic"
226,1995-09-24,17.3136666666667,32.1543333333333,24.3610277777778,60.96,60.706,0.198027258546423,127.762,2.25093002957584,0,"historic"
227,1995-10-23,12.0335862068966,29.2755172413793,20.4440517241379,12.7,12.7,0.2476573857293,101.346,2.37603244057297,0,"historic"
228,1995-11-22,7.75276666666667,23.6306666666667,15.0525777777778,7.62,7.62,0.205894254319399,81.026,2.48189655702101,0,"historic"
229,1995-12-21,3.59886206896552,19.3305172413793,10.6706063218391,4.064,1.27,0.178394653208049,21.59,2.53480102501457,0,"historic"
230,1996-01-20,0.747466666666667,17.0122,7.85187224400871,0.508,0,0.151545115243543,8.89,2.55430436384669,0,"historic"
231,1996-02-18,3.82362068965517,19.6010344827586,11.2732471264368,6.35,5.842,0.147370661304985,7.112,2.4748996949717,0,"historic"
232,1996-03-19,4.0105,19.6933333333333,12.1724277777778,1.778,0,0.104012277044494,5.842,2.26254785273224,0,"historic"
233,1996-04-17,7.32748275862069,23.418275862069,15.7045502873563,4.318,4.318,0.132517236417894,10.16,2.10171614631276,0,"historic"
234,1996-05-17,13.879,32.2416666666667,23.8743041666667,0,0,0.114704698985461,4.318,2.02390699283513,0,"historic"
235,1996-06-15,17.3306896551724,34.0093103448276,26.3704454022988,26.162,26.162,0.124612390377545,30.48,1.96670462921423,0,"historic"
236,1996-07-15,19.5726666666667,35.07,26.8715,67.31,67.31,0.161002011846073,93.472,1.94228118889311,0,"historic"
237,1996-08-14,19.33,33.9656666666667,26.3999444444444,52.324,52.324,0.218312261568279,145.796,1.98405020459144,0,"historic"
238,1996-09-12,17.7558620689655,31.8634482758621,24.1762931034483,21.844,21.844,0.183100992812379,141.478,1.9691239388574,0,"historic"
239,1996-10-12,14.4936666666667,29.6286666666667,21.7910694444444,34.798,18.034,0.199930338872474,92.202,1.92139689200058,0,"historic"
240,1996-11-10,5.99,21.44,13.5512658045977,43.942,29.718,0.135192563081009,69.596,1.85069520076219,0,"historic"
241,1996-12-10,4.1954,19.1153333333333,11.1145180555556,6.858,2.286,0.144439210881664,50.038,1.8167397584358,0,"historic"
242,1997-01-08,0.371448275862069,14.7720344827586,6.91655172413793,11.938,8.128,0.106485925727371,40.132,1.77168056891963,0,"historic"
243,1997-02-07,1.03236666666667,15.022,7.5957625,13.97,2.032,0.164810605602213,12.446,1.78912051321686,0,"historic"
244,1997-03-08,2.17720689655172,17.2270689655172,9.34639942528736,40.64,2.286,0.139719042570143,12.446,1.82482727874251,0,"historic"
245,1997-04-07,6.83663333333333,22.739,14.8487152777778,3.048,3.048,0.18624117246142,7.366,1.87855121478603,0,"historic"
246,1997-05-06,10.3155862068966,26.4044827586207,18.9308390804598,2.794,2.54,0.146311745627002,7.874,1.91015826142757,0,"historic"
247,1997-06-05,15.6956666666667,31.5266666666667,23.5794305555556,32.004,23.622,0.147311904724578,29.21,1.93285777577461,0,"historic"
248,1997-07-04,18.0937931034483,35.168275862069,27.4351005747126,2.286,0.254,0.146907410856636,26.416,1.91876317478517,0,"historic"
249,1997-08-03,19.4843333333333,34.026,26.4266666666667,40.64,40.64,0.133157445117889,64.516,1.83360835833478,0,"historic"
250,1997-09-01,18.7596551724138,33.2503448275862,25.5058189655172,34.29,28.702,0.192706361619326,69.596,1.84321372714173,0,"historic"
251,1997-10-01,18.0496666666667,32.275,24.6428611111111,27.432,27.432,0.168888153556594,96.774,1.81217154182585,0,"historic"
