year,month,climate_model,lead_time_months,meantemp,precipitation,issue_year,issue_month
1982,1,CFSv2,1,NaN,NaN,1981,12
1982,2,CFSv2,1,7.6154,14.539,1982,1
1982,3,CFSv2,1,11.266,10.335,1982,2
1982,4,CFSv2,1,14.901,2.4369,1982,3
1982,5,CFSv2,1,19.225,3.2725,1982,4
1982,6,CFSv2,1,24.288,26.359,1982,5
1982,7,CFSv2,1,26.263,49.093,1982,6
1982,8,CFSv2,1,24.89,56.018,1982,7
1982,9,CFSv2,1,22.215,24.204,1982,8
1982,10,CFSv2,1,16.807,18.8,1982,9
1982,11,CFSv2,1,8.7807,22,1982,10
1982,12,CFSv2,1,5.4266,19.976,1982,11
1983,1,CFSv2,1,4.6987,23.633,1982,12
1983,2,CFSv2,1,6.9458,45.977,1983,1
1983,3,CFSv2,1,9.6695,30.839,1983,2
1983,4,CFSv2,1,13.498,26.971,1983,3
1983,5,CFSv2,1,18.497,7.5927,1983,4
1983,6,CFSv2,1,23.88,11.734,1983,5
1983,7,CFSv2,1,26.223,43.411,1983,6
1983,8,CFSv2,1,24.364,62.884,1983,7
1983,9,CFSv2,1,21.39,35.375,1983,8
1983,10,CFSv2,1,16.443,26.306,1983,9
1983,11,CFSv2,1,10.341,8.3675,1983,10
1983,12,CFSv2,1,6.5859,15.207,1983,11
1984,1,CFSv2,1,6.9551,2.8585,1983,12
1984,2,CFSv2,1,9.1932,9.4777,1984,1
1984,3,CFSv2,1,11.705,6.2742000000000004,1984,2
1984,4,CFSv2,1,15.201,2.6669,1984,3
1984,5,CFSv2,1,19.864,0.27476,1984,4
1984,6,CFSv2,1,23.996,5.8069,1984,5
1984,7,CFSv2,1,25.032,137.69,1984,6
1984,8,CFSv2,1,23.429,85.733,1984,7
1984,9,CFSv2,1,20.702,33.086,1984,8
1984,10,CFSv2,1,15.833,14.79,1984,9
1984,11,CFSv2,1,8.216,63.605,1984,10
1984,12,CFSv2,1,5.7915,5.6483,1984,11
1985,1,CFSv2,1,6.1674,13.868,1984,12
1985,2,CFSv2,1,8.5513,10.686,1985,1
1985,3,CFSv2,1,12.422,5.5677,1985,2
1985,4,CFSv2,1,14.673,3.9623,1985,3
1985,5,CFSv2,1,19.059,6.9455,1985,4
1985,6,CFSv2,1,24.164,5.6803,1985,5
1985,7,CFSv2,1,25.106,101.93,1985,6
1985,8,CFSv2,1,24.274,47.232,1985,7
1985,9,CFSv2,1,21.684,14.208,1985,8
1985,10,CFSv2,1,15.963,14.898,1985,9
1985,11,CFSv2,1,8.701,13.32,1985,10
1985,12,CFSv2,1,5.7899,19.299,1985,11
1986,1,CFSv2,1,6.2658,15.397,1985,12
1986,2,CFSv2,1,8.744,16.921,1986,1
1986,3,CFSv2,1,10.755,6.4138,1986,2
1986,4,CFSv2,1,15.652,1.9743,1986,3
1986,5,CFSv2,1,19.366,7.4756,1986,4
1986,6,CFSv2,1,25.072,6.3534,1986,5
1986,7,CFSv2,1,25.691,49.566,1986,6
1986,8,CFSv2,1,23.706,71.064,1986,7
1986,9,CFSv2,1,21.157,35.076,1986,8
1986,10,CFSv2,1,16.117,30.716,1986,9
1986,11,CFSv2,1,8.4123,28.848,1986,10
1986,12,CFSv2,1,5.2137,80.099,1986,11
1987,1,CFSv2,1,4.9721,39.786,1986,12
1987,2,CFSv2,1,7.9294,27.484,1987,1
1987,3,CFSv2,1,10.241,37.202,1987,2
1987,4,CFSv2,1,13.121,9.0395,1987,3
