"moon","ntraps","nplots","DM","total"
28,196,4,6,6
29,196,4,6,6
30,196,4,9,9
31,NA,NA,12,12
32,196,4,16,16
33,196,4,4,4
34,196,4,7,7
35,196,4,4,4
36,196,4,4,4
37,196,4,8,8
38,196,4,7,7
39,196,4,7,7
40,196,4,5,5
41,196,4,3,3
42,196,4,5,5
43,196,4,11,11
44,NA,NA,9,9
45,196,4,7,7
46,196,4,8,8
47,NA,NA,8,8
48,196,4,9,9
49,196,4,11,11
50,196,4,9,9
51,196,4,7,7
52,196,4,9,9
53,196,4,5,5
54,196,4,8,8
55,196,4,18,18
56,196,4,10,10
57,196,4,16,16
58,196,4,25,25
59,196,4,15,15
60,196,4,10,10
61,196,4,11,11
62,196,4,12,12
63,196,4,17,17
64,196,4,21,21
65,196,4,14,14
66,NA,NA,16,16
67,196,4,17,17
68,NA,NA,16,16
69,196,4,16,16
70,196,4,14,14
71,196,4,17,17
72,196,4,10,10
73,196,4,10,10
74,196,4,10,10
75,196,4,9,9
76,196,4,10,10
77,196,4,11,11
78,196,4,13,13
79,196,4,9,9
80,196,4,9,9
81,NA,NA,10,10
82,196,4,11,11
83,196,4,7,7
84,196,4,4,4
85,NA,NA,6,6
86,196,4,9,9
87,196,4,14,14
88,196,4,8,8
89,196,4,7,7
90,196,4,13,13
91,196,4,15,15
92,NA,NA,12,12
93,196,4,9,9
94,196,4,9,9
95,196,4,9,9
96,196,4,7,7
97,NA,NA,8,8
98,196,4,8,8
99,196,4,11,11
100,196,4,10,10
101,196,4,12,12
102,196,4,13,13
103,196,4,11,11
104,196,4,16,16
105,196,4,13,13
106,NA,NA,12,12
107,NA,NA,10,10
108,196,4,9,9
109,196,4,11,11
110,196,4,11,11
111,196,4,10,10
112,196,4,14,14
113,196,4,12,12
114,196,4,13,13
115,196,4,9,9
116,196,4,12,12
117,196,4,11,11
118,NA,NA,12,12
119,196,4,12,12
120,196,4,11,11
121,196,4,9,9
122,196,4,11,11
123,196,4,10,10
124,196,4,14,14
125,196,4,13,13
126,196,4,12,12
127,196,4,8,8
128,196,4,9,9
129,196,4,12,12
130,NA,NA,12,12
131,196,4,11,11
132,196,4,13,13
133,196,4,15,15
134,196,4,6,6
135,196,4,11,11
136,196,4,10,10
137,196,4,10,10
