"cast_moon","moon","mintemp","maxtemp","meantemp","precipitation","ndvi","source","date_made","date"
403,404,-7.950547879,28.81972173,8.903,28.654,0.231024862,"retroactive","2018-06-05 12:00:00 PST",NA
403,405,-0.729957406,21.60479975,11.525,17.101,0.260128929,"retroactive","2018-06-05 12:00:00 PST",NA
403,406,4.198406522,23.44903592,15.435,14.24,0.285438244,"retroactive","2018-06-05 12:00:00 PST",NA
403,407,7.960145913,30.8837414,20.061,4.936,0.300946861,"retroactive","2018-06-05 12:00:00 PST",NA
403,408,2.20589089,31.38777429,25.284,13.118,0.31154717,"retroactive","2018-06-05 12:00:00 PST",NA
403,409,15.09588565,39.67138899,27.094,46.869,0.318771359,"retroactive","2018-06-05 12:00:00 PST",NA
404,405,4.715854216,30.73960051,11.371,12.365,0.252788575,"retroactive","2018-06-05 12:00:00 PST",NA
404,406,1.508096179,29.13332366,15.364,4.89,0.281808324,"retroactive","2018-06-05 12:00:00 PST",NA
404,407,4.994042011,31.97281452,20.833,3.22,0.301533037,"retroactive","2018-06-05 12:00:00 PST",NA
404,408,15.0908606,39.90025579,26.178,5.932,0.313588967,"retroactive","2018-06-05 12:00:00 PST",NA
404,409,14.65233928,36.93969792,27.457,57.485,0.320012214,"retroactive","2018-06-05 12:00:00 PST",NA
404,410,16.28912734,27.63070779,25.96,53.025,0.321778561,"retroactive","2018-06-05 12:00:00 PST",NA
405,406,-2.211924294,23.97830849,15.776,3.748,0.285789743,"retroactive","2018-06-05 12:00:00 PST",NA
405,407,8.975413999,39.79658322,20.868,5.649,0.303498105,"retroactive","2018-06-05 12:00:00 PST",NA
405,408,17.78935055,42.10057006,26.12,3.766,0.313264279,"retroactive","2018-06-05 12:00:00 PST",NA
405,409,17.65457795,39.80705145,27.688,48.457,0.318901867,"retroactive","2018-06-05 12:00:00 PST",NA
405,410,13.8628192,38.06733528,26.396,44.294,0.321107082,"retroactive","2018-06-05 12:00:00 PST",NA
405,411,10.01424481,41.92745464,23.954,22.294,0.316797683,"retroactive","2018-06-05 12:00:00 PST",NA
406,407,4.523613843,34.55555904,20.339,4.1,0.348550462,"retroactive","2018-06-05 12:00:00 PST",NA
406,408,2.521907322,40.76418418,26.239,5.51,0.335366142,"retroactive","2018-06-05 12:00:00 PST",NA
406,409,17.89855362,32.34559025,27.585,51.933,0.314942449,"retroactive","2018-06-05 12:00:00 PST",NA
406,410,18.26442592,33.95489779,26.444,49.513,0.308221009,"retroactive","2018-06-05 12:00:00 PST",NA
406,411,5.906418104,34.45623157,24.269,19.725,0.309047576,"retroactive","2018-06-05 12:00:00 PST",NA
406,412,2.335946878,36.22742562,17.798,23.235,0.305179489,"retroactive","2018-06-05 12:00:00 PST",NA
407,408,5.16262292,37.60454088,26.699,3.232,0.348953874,"retroactive","2018-06-05 12:00:00 PST",NA
407,409,18.39569003,37.21539781,27.882,45.136,0.321624332,"retroactive","2018-06-05 12:00:00 PST",NA
407,410,10.84714996,40.4645168,26.372,50.445,0.307043478,"retroactive","2018-06-05 12:00:00 PST",NA
407,411,4.332834418,45.40274493,24.35,20.251,0.305133205,"retroactive","2018-06-05 12:00:00 PST",NA
407,412,4.025360863,34.89887685,18.467,5.58,0.302791953,"retroactive","2018-06-05 12:00:00 PST",NA
407,413,2.346591974,29.03083445,12.823,3.783,0.291681917,"retroactive","2018-06-05 12:00:00 PST",NA
408,409,15.72280402,40.83018729,27.796,41.786,0.302028346,"retroactive","2018-06-05 12:00:00 PST",NA
408,410,10.73017821,41.30504989,26.513,43.153,0.297521564,"retroactive","2018-06-05 12:00:00 PST",NA
408,411,16.09426218,38.602813,24.613,16.097,0.306938557,"retroactive","2018-06-05 12:00:00 PST",NA
408,412,0.66623786,28.31138818,18.306,2.076,0.308436041,"retroactive","2018-06-05 12:00:00 PST",NA
408,413,2.519046671,27.90654815,13.013,0.655,0.295049538,"retroactive","2018-06-05 12:00:00 PST",NA
408,414,-4.099284115,17.86222489,8.353,1.265,0.273820769,"retroactive","2018-06-05 12:00:00 PST",NA
409,410,13.53270613,37.16528574,26.181,45.433,0.30487098,"retroactive","2018-06-05 12:00:00 PST",NA
409,411,6.105708984,31.84951842,24.568,11.248,0.31048909,"retroactive","2018-06-05 12:00:00 PST",NA
409,412,3.829661269,30.03880725,18.617,2.605,0.307722591,"retroactive","2018-06-05 12:00:00 PST",NA
409,413,-5.504732621,24.69162442,12.815,2.148,0.292906671,"retroactive","2018-06-05 12:00:00 PST",NA
409,414,0.089707072,24.31325591,8.316,3.042,0.272556972,"retroactive","2018-06-05 12:00:00 PST",NA
409,415,-8.069133743,19.84434808,8.898,2.054,0.256928383,"retroactive","2018-06-05 12:00:00 PST",NA
410,411,6.307747673,36.70188667,23.88,16.502,0.358812606,"retroactive","2018-06-05 12:00:00 PST",NA
410,412,8.463935658,25.37674134,18.663,2.929,0.330272803,"retroactive","2018-06-05 12:00:00 PST",NA
410,413,-2.935916566,33.28006171,13.534,0.741,0.288201478,"retroactive","2018-06-05 12:00:00 PST",NA
410,414,-7.841896991,20.88754378,8.519,1.901,0.259429495,"retroactive","2018-06-05 12:00:00 PST",NA
410,415,-7.176639179,18.93472976,9.051,0.879,0.249531843,"retroactive","2018-06-05 12:00:00 PST",NA
410,416,-3.888474618,27.22720525,10.999,3.132,0.252035511,"retroactive","2018-06-05 12:00:00 PST",NA
411,412,-0.722649774,30.35279431,18.154,3.111,0.315403713,"retroactive","2018-06-05 12:00:00 PST",NA
411,413,-6.377410289,25.33202528,13.074,2.237,0.285250817,"retroactive","2018-06-05 12:00:00 PST",NA
411,414,-7.978765664,23.7473723,8.348,5.116,0.264947937,"retroactive","2018-06-05 12:00:00 PST",NA
411,415,-7.257263572,20.97786067,8.255,3.603,0.254268965,"retroactive","2018-06-05 12:00:00 PST",NA
411,416,-8.263179821,26.01518883,10.457,6.013,0.252201408,"retroactive","2018-06-05 12:00:00 PST",NA
411,417,-0.203507568,26.83690812,13.532,2.702,0.258233777,"retroactive","2018-06-05 12:00:00 PST",NA
412,413,-1.888019098,24.74393251,12.925,0.601,0.265555225,"retroactive","2018-06-05 12:00:00 PST",NA
412,414,-10.96733665,31.19918664,8.629,6.474,0.257105998,"retroactive","2018-06-05 12:00:00 PST",NA
412,415,-12.51316071,18.98906328,8.513,2.794,0.255174119,"retroactive","2018-06-05 12:00:00 PST",NA
412,416,2.804092226,30.62352473,10.374,7.973,0.254406847,"retroactive","2018-06-05 12:00:00 PST",NA
412,417,-2.640406256,21.48420254,13.876,1.357,0.260532788,"retroactive","2018-06-05 12:00:00 PST",NA
412,418,2.754139528,37.19152237,17.735,1.528,0.27174419,"retroactive","2018-06-05 12:00:00 PST",NA
413,414,-2.006400982,17.71001873,8.488,4.577,0.274262123,"retroactive","2018-06-05 12:00:00 PST",NA
413,415,-4.642249075,24.9542027,9.236,4.408,0.261935065,"retroactive","2018-06-05 12:00:00 PST",NA
413,416,-1.353287987,24.13617699,10.578,5.211,0.253626604,"retroactive","2018-06-05 12:00:00 PST",NA
413,417,3.799275984,30.80693087,13.531,3.623,0.258604925,"retroactive","2018-06-05 12:00:00 PST",NA
413,418,4.658115158,33.30600247,17.726,1.016,0.269785347,"retroactive","2018-06-05 12:00:00 PST",NA
413,419,11.63543951,37.245309,22.525,1.289,0.288505873,"retroactive","2018-06-05 12:00:00 PST",NA
414,415,-7.453954754,19.91617243,8.621,3.484,0.231080299,"retroactive","2018-06-05 12:00:00 PST",NA
414,416,1.833129174,20.26343998,10.415,7.135,0.24138782,"retroactive","2018-06-05 12:00:00 PST",NA
414,417,-2.599562185,25.83060802,13.497,5.157,0.259647069,"retroactive","2018-06-05 12:00:00 PST",NA
414,418,2.250939933,33.68537009,17.262,1.02,0.275013155,"retroactive","2018-06-05 12:00:00 PST",NA
414,419,6.447833743,46.12336135,22.266,3.555,0.291694709,"retroactive","2018-06-05 12:00:00 PST",NA
414,420,15.18443442,40.38035502,25.961,6.426,0.307159937,"retroactive","2018-06-05 12:00:00 PST",NA
415,416,-6.861001267,28.55337874,9.92,9.923,0.245265886,"retroactive","2018-06-05 12:00:00 PST",NA
415,417,-3.970700997,35.32586251,12.62,19.269,0.261271228,"retroactive","2018-06-05 12:00:00 PST",NA
415,418,6.813870358,31.64787242,16.849,21.227,0.274834531,"retroactive","2018-06-05 12:00:00 PST",NA
415,419,3.467410354,32.75112179,20.521,18.753,0.291100342,"retroactive","2018-06-05 12:00:00 PST",NA
415,420,6.312339712,32.49896936,24.496,22.208,0.306671351,"retroactive","2018-06-05 12:00:00 PST",NA
415,421,8.692974485,22.45726537,26.53,23.943,0.319448473,"retroactive","2018-06-05 12:00:00 PST",NA
416,417,4.639168266,33.84937264,12.213,19.503,0.247140707,"retroactive","2018-06-05 12:00:00 PST",NA
416,418,3.071563468,35.70633407,15.76,26.489,0.268848797,"retroactive","2018-06-05 12:00:00 PST",NA
416,419,9.291082139,36.42627717,19.958,32.094,0.291823976,"retroactive","2018-06-05 12:00:00 PST",NA
416,420,4.398481806,32.0326148,22.571,31.9,0.308838369,"retroactive","2018-06-05 12:00:00 PST",NA
416,421,10.4862419,44.11557996,24.27,34.688,0.321279855,"retroactive","2018-06-05 12:00:00 PST",NA
416,422,4.885548676,33.17078869,24.345,34.87,0.325196858,"retroactive","2018-06-05 12:00:00 PST",NA
417,418,4.917464423,36.05697028,15.834,34.366,0.254868845,"retroactive","2018-06-05 12:00:00 PST",NA
