"mintemp","maxtemp","meantemp","precipitation","newmoonnumber","ndvi","source"
-5.596,22.4,5.96981805555556,12.7,156,0.2545,"hist"
-8.65,24.87,7.35873888888889,16.764,157,0.2425,"hist"
-3.912,28.48,13.2235445402299,8.636,158,0.2285,"hist"
0.559,31.55,17.3918376436782,3.556,159,0.336,"hist"
3.877,35.65,20.9731541666667,3.556,160,0.3165,"hist"
9.24,40.64,27.108117816092,7.874,161,0.297,"hist"
17.34,42.64,26.9062931034483,70.866,162,0.2385,"hist"
14.8,35.35,22.6538472222222,83.058,163,0.3595,"hist"
13.39,36.74,24.7725143678161,7.112,164,0.4005,"hist"
3.365,31.31,19.0411194444444,53.086,165,0.365,"hist"
-0.158,28.92,14.0908083333333,30.48,166,0.305,"hist"
-3.977,25.33,9.2617341954023,31.75,167,0.2475,"hist"
-10.16,19.47,5.67940138888889,26.924,168,0.2105,"hist"
-8.11,21.54,7.42204861111111,27.432,169,0.2085,"hist"
-2.467,25.59,10.7348180555556,22.098,170,0.267,"hist"
-4.625,29.03,12.7237270114943,13.208,171,0.3785,"hist"
3.385,31.72,18.5229181034483,0,172,0.3665,"hist"
7.27,34.6,22.3005555555556,12.192,173,0.3485,"hist"
13.81,38.96,26.5267816091954,27.686,174,0.312,"hist"
16.49,35.89,24.8137643678161,55.372,175,0.332,"hist"
14.41,35.43,24.4948194444444,36.068,176,0.336,"hist"
11.07,32.61,21.2087068965517,34.29,177,0.401,"hist"
-6.1,32.23,14.2900696286472,18.7,178,0.2795,"hist"
-13.3,22.8,6.76551724137931,32.6,179,0.1935,"hist"
-2.151,19.91,7.03037916666667,104.394,180,0.201,"hist"
-6.991,16.35,4.89482222222222,26.67,181,0.2465,"hist"
-1.127,22.14,9.4986875,20.574,182,0.3435,"hist"
0.001,24.37,11.8828275862069,34.544,183,0.416,"hist"
3.955,33.42,19.1004875,3.81,184,0.319,"hist"
8.52,31.13,18.8003735632184,66.294,185,0.33825,"hist"
10.58,38.72,25.7697361111111,10.16,186,0.3575,"hist"
15.32,40.11,26.2771982758621,52.07,187,0.31,"hist"
14.22,37.32,24.6574425287356,54.864,188,0.346,"hist"
3.9,33.69,24.2765092592593,42.908,189,0.4225,"hist"
8.1,32.57,20.2094827586207,5.08,190,0.361,"hist"
-3.364,27.91,11.6844597222222,11.938,191,0.2885,"hist"
-5.831,19.71,4.94784913793103,45.466,192,0.1965,"hist"
-3.447,19.76,8.73092777777778,60.706,193,0.183,"hist"
-1.565,20.56,8.03882222222222,17.526,194,0.228,"hist"
-2.189,27.85,11.9288319444444,1.778,195,0.336,"hist"
-0.22,31.12,15.1786465517241,5.334,196,0.386,"hist"
7.89,33.08,21.6803055555556,0.762,197,0.3665,"hist"
8.65,39.71,25.0129597701149,10.414,198,0.3435,"hist"
16.75,40.23,27.2280277777778,16.51,199,0.328,"hist"
16.99,39.11,26.8926724137931,0,200,0.248,"hist"
12.68,36.1,23.2730603448276,47.498,201,0.3405,"hist"
9.96,35.02,22.0568055555556,2.032,202,0.34,"hist"
-1.485,27.25,13.327617816092,8.636,203,0.285,"hist"
-5.917,23.79,9.11854305555556,26.924,204,0.263,"hist"
-5.18,23.25,6.88422988505747,10.922,205,0.225,"hist"
-7.03,21.86,7.38835833333333,17.018,206,0.2115,"hist"
-2.215,23.85,11.2886097222222,3.048,207,0.2505,"hist"
-1.891,27.59,14.9931451149425,12.192,208,0.3175,"hist"
1.902,32.1,19.1400375,3.556,209,0.276,"hist"
8.48,37.78,24.5587638888889,3.048,210,0.2805,"hist"
17.91,43.87,30.0727873563218,3.556,211,0.283,"hist"
17.12,39.55,28.4607361111111,18.796,212,0.2565,"hist"
