"mintemp","maxtemp","meantemp","precipitation","newmoonnumber","ndvi","source"
-3.63,24.43,8.32403591954023,26.924,489,0.257338647737836,"hist"
-4.598,23.75,7.55748888888889,44.196,490,0.250745533897415,"hist"
-5.151,28.17,10.5668402777778,19.05,491,0.253772914207251,"hist"
-0.283,30.23,16.7191451149425,0.762,492,0.265226460135771,"hist"
2.699,32.2,18.9714527777778,0.508,493,0.282786374637867,"hist"
4.446,36.12,21.2836379310345,0.145626666666667,494,0.301115064140052,"hist"
13,41.88,28.0530972222222,0,495,0.316571771531689,"hist"
17.21,39.83,27.287025862069,53.9360533333333,496,0.324461540750428,"hist"
15.58,35.64,24.6419827586207,75.182,497,0.323370821967368,"hist"
14.98,35.9,24.88775,12.446,498,0.313179935859058,"hist"
8.17,33.86,21.6153591954023,4.572,499,0.296964832232373,"hist"
3.432,31.56,17.2683222222222,3.302,500,0.277937819753924,"hist"
-7.877,28.91,10.6596722222222,15.494,501,0.26145755163108,"hist"
-5.219,23.47,9.37766805555555,1.016,502,0.251890275101916,"hist"
-5.909,24.54,10.5719813218391,8.128,503,0.251514317245892,"hist"
-3.488,24.97,11.1408994252874,11.938,504,0.260033703378811,"hist"
-0.625,33.09,17.5854833333333,1.016,505,0.275915755171449,"hist"
4.912,36.26,22.2140344827586,0.508,506,0.294302505021717,"hist"
10.55,39.74,26.6023194444444,1.778,507,0.311581705422434,"hist"
13.38,41,27.7197844827586,38.1,508,0.322458321554619,"hist"
15.87,41.51,27.9241111111111,14.986,509,0.324777672292819,"hist"
14.95,36.42,24.9176436781609,41.908,510,0.317868968825002,"hist"
5.921,36.51,23.7157969202899,29.714,511,0.30302237292568,"hist"
3.865,27.56,14.6316648850575,53.594,512,0.284874287514355,"hist"
-6.136,24.84,9.32144088164251,41.148,513,0.266893059999104,"hist"
-10.78,22.709,6.466,22.352,514,0.255,"fcast"
-8.668,21.806,7.159,32.428,515,0.251,"fcast"
-7.215,26.405,9.489,23.694,516,0.256,"fcast"
-2.844,29.763,13.155,0,517,0.269,"fcast"
2.36,34.829,16.989,10.577,518,0.288,"fcast"
1.914,35.819,21.015,3.832,519,0.306,"fcast"
