"newmoonnumber","ntraps","nplots","DM"
28,196,4,6
29,196,4,6
30,196,4,9
31,NA,NA,NA
32,196,4,16
33,196,4,4
34,196,4,7
35,196,4,4
36,196,4,4
37,196,4,8
38,196,4,7
39,196,4,7
40,196,4,5
41,196,4,3
42,196,4,5
43,196,4,11
44,NA,NA,NA
45,196,4,7
46,196,4,8
47,NA,NA,NA
48,196,4,9
49,196,4,11
50,196,4,9
51,196,4,7
52,196,4,9
53,196,4,5
54,196,4,8
55,196,4,18
56,196,4,10
57,196,4,16
58,196,4,25
59,196,4,15
60,196,4,10
61,196,4,11
62,196,4,12
63,196,4,17
64,196,4,21
65,196,4,14
66,NA,NA,NA
67,196,4,17
68,NA,NA,NA
69,196,4,16
70,196,4,14
71,196,4,17
72,196,4,10
73,196,4,10
74,196,4,10
75,196,4,9
76,196,4,10
77,196,4,11
78,196,4,13
79,196,4,9
80,196,4,9
81,NA,NA,NA
82,196,4,11
83,196,4,7
84,196,4,4
85,NA,NA,NA
86,196,4,9
87,196,4,14
88,196,4,8
89,196,4,7
90,196,4,13
91,196,4,15
92,NA,NA,NA
93,196,4,9
94,196,4,9
95,196,4,9
96,196,4,7
97,NA,NA,NA
98,196,4,8
99,196,4,11
100,196,4,10
101,196,4,12
102,196,4,13
103,196,4,11
104,196,4,16
105,196,4,13
106,NA,NA,NA
107,NA,NA,NA
108,196,4,9
109,196,4,11
110,196,4,11
111,196,4,10
112,196,4,14
113,196,4,12
114,196,4,13
115,196,4,9
116,196,4,12
117,196,4,11
118,NA,NA,NA
119,196,4,12
120,196,4,11
121,196,4,9
122,196,4,11
123,196,4,10
124,196,4,14
125,196,4,13
126,196,4,12
127,196,4,8
128,196,4,9
129,196,4,12
130,NA,NA,NA
131,196,4,11
132,196,4,13
133,196,4,15
134,196,4,6
135,196,4,11
136,196,4,10
137,196,4,10
138,196,4,10
139,196,4,9
140,196,4,14
141,196,4,14
142,196,4,14
143,196,4,12
144,196,4,16
145,196,4,9
146,196,4,9
147,196,4,10
148,196,4,12
149,196,4,9
150,196,4,17
151,196,4,8
152,196,4,11
153,196,4,13
154,196,4,17
155,196,4,15
156,196,4,16
157,196,4,20
158,196,4,19
159,196,4,20
160,196,4,17
161,196,4,19
162,196,4,17
163,196,4,17
164,196,4,14
165,196,4,23
166,196,4,20
167,196,4,25
168,196,4,21
169,196,4,22
170,196,4,23
171,196,4,13
172,196,4,12
173,196,4,13
174,196,4,12
175,196,4,15
176,196,4,13
177,196,4,12
178,196,4,16
179,196,4,15
180,196,4,12
181,196,4,14
182,196,4,16
183,196,4,21
184,196,4,17
185,196,4,15
186,196,4,15
187,196,4,10
188,196,4,10
189,196,4,14
190,196,4,16
191,NA,NA,NA
192,196,4,12
193,196,4,11
194,196,4,10
195,196,4,23
196,196,4,8
197,196,4,10
198,196,4,10
199,196,4,9
200,196,4,12
201,196,4,7
202,196,4,12
203,196,4,11
204,196,4,9
205,196,4,12
206,196,4,17
207,196,4,17
208,196,4,19
209,196,4,14
210,196,4,10
211,196,4,8
212,196,4,8
213,196,4,9
214,196,4,13
215,196,4,11
216,196,4,10
217,196,4,9
218,196,4,10
219,196,4,13
220,196,4,19
221,196,4,17
222,196,4,22
223,196,4,19
224,196,4,23
225,196,4,17
226,196,4,19
227,196,4,20
228,196,4,21
229,196,4,16
230,196,4,23
231,196,4,19
232,196,4,10
233,196,4,25
234,196,4,13
235,196,4,18
236,196,4,12
