time,latitude[unit="degrees_north"],longitude[unit="degrees_east"],pr[unit="in"]
2023-04-30T00:00:00Z,31.9555,-109.0744,0.0
2023-05-01T00:00:00Z,31.9555,-109.0744,0.0
2023-05-02T00:00:00Z,31.9555,-109.0744,0.0
2023-05-03T00:00:00Z,31.9555,-109.0744,0.0
2023-05-04T00:00:00Z,31.9555,-109.0744,0.0
2023-05-05T00:00:00Z,31.9555,-109.0744,0.0
2023-05-06T00:00:00Z,31.9555,-109.0744,0.0
2023-05-07T00:00:00Z,31.9555,-109.0744,0.0
2023-05-08T00:00:00Z,31.9555,-109.0744,0.017027828842401505
2023-05-09T00:00:00Z,31.9555,-109.0744,0.0035959226079285145
2023-05-10T00:00:00Z,31.9555,-109.0744,0.04505503550171852
2023-05-11T00:00:00Z,31.9555,-109.0744,0.022527506574988365
2023-05-12T00:00:00Z,31.9555,-109.0744,0.0
2023-05-13T00:00:00Z,31.9555,-109.0744,0.0
2023-05-14T00:00:00Z,31.9555,-109.0744,0.007562037091702223
2023-05-15T00:00:00Z,31.9555,-109.0744,0.026546502485871315
2023-05-16T00:00:00Z,31.9555,-109.0744,0.0
2023-05-17T00:00:00Z,31.9555,-109.0744,0.0
2023-05-18T00:00:00Z,31.9555,-109.0744,0.13685734570026398
2023-05-19T00:00:00Z,31.9555,-109.0744,0.0038074490148574114
2023-05-20T00:00:00Z,31.9555,-109.0744,0.0
2023-05-21T00:00:00Z,31.9555,-109.0744,0.0
2023-05-22T00:00:00Z,31.9555,-109.0744,0.0
2023-05-23T00:00:00Z,31.9555,-109.0744,0.0
2023-05-24T00:00:00Z,31.9555,-109.0744,0.0
2023-05-25T00:00:00Z,31.9555,-109.0744,0.0
2023-05-26T00:00:00Z,31.9555,-109.0744,0.0
2023-05-27T00:00:00Z,31.9555,-109.0744,0.0
2023-05-28T00:00:00Z,31.9555,-109.0744,0.0
2023-05-29T00:00:00Z,31.9555,-109.0744,0.0
2023-05-30T00:00:00Z,31.9555,-109.0744,0.0
2023-05-31T00:00:00Z,31.9555,-109.0744,0.0
2023-06-01T00:00:00Z,31.9555,-109.0744,0.0
2023-06-02T00:00:00Z,31.9555,-109.0744,0.0
2023-06-03T00:00:00Z,31.9555,-109.0744,0.0
2023-06-04T00:00:00Z,31.9555,-109.0744,0.0
2023-06-05T00:00:00Z,31.9555,-109.0744,0.0
2023-06-06T00:00:00Z,31.9555,-109.0744,0.0
2023-06-07T00:00:00Z,31.9555,-109.0744,0.0
2023-06-08T00:00:00Z,31.9555,-109.0744,0.0
2023-06-09T00:00:00Z,31.9555,-109.0744,0.0
2023-06-10T00:00:00Z,31.9555,-109.0744,0.0
2023-06-11T00:00:00Z,31.9555,-109.0744,0.0
2023-06-12T00:00:00Z,31.9555,-109.0744,0.0
2023-06-13T00:00:00Z,31.9555,-109.0744,0.0
2023-06-14T00:00:00Z,31.9555,-109.0744,0.0
2023-06-15T00:00:00Z,31.9555,-109.0744,0.0
2023-06-16T00:00:00Z,31.9555,-109.0744,0.0
2023-06-17T00:00:00Z,31.9555,-109.0744,0.0
2023-06-18T00:00:00Z,31.9555,-109.0744,0.0
2023-06-19T00:00:00Z,31.9555,-109.0744,0.0
2023-06-20T00:00:00Z,31.9555,-109.0744,0.0
2023-06-21T00:00:00Z,31.9555,-109.0744,0.2075362205505371
2023-06-22T00:00:00Z,31.9555,-109.0744,0.29715433716773987
2023-06-23T00:00:00Z,31.9555,-109.0744,0.0
