time,latitude[unit="degrees_north"],longitude[unit="degrees_east"],tasmean[unit="F"]
2023-07-20T00:00:00Z,31.9555,-109.0744,77.10874938964844
2023-07-21T00:00:00Z,31.9555,-109.0744,76.41574096679688
2023-07-22T00:00:00Z,31.9555,-109.0744,77.53178405761719
2023-07-23T00:00:00Z,31.9555,-109.0744,77.72074890136719
2023-07-24T00:00:00Z,31.9555,-109.0744,79.77277374267578
2023-07-25T00:00:00Z,31.9555,-109.0744,78.68375396728516
2023-07-26T00:00:00Z,31.9555,-109.0744,76.04676055908203
2023-07-27T00:00:00Z,31.9555,-109.0744,75.86674499511719
2023-07-28T00:00:00Z,31.9555,-109.0744,77.27975463867188
2023-07-29T00:00:00Z,31.9555,-109.0744,77.95475769042969
2023-07-30T00:00:00Z,31.9555,-109.0744,77.15324401855469
2023-07-31T00:00:00Z,31.9555,-109.0744,73.34478759765625
2023-08-01T00:00:00Z,31.9555,-109.0744,77.75480651855469
2023-08-02T00:00:00Z,31.9555,-109.0744,78.06977844238281
2023-08-03T00:00:00Z,31.9555,-109.0744,74.64984893798828
2023-08-04T00:00:00Z,31.9555,-109.0744,77.45779418945312
2023-08-05T00:00:00Z,31.9555,-109.0744,80.04078674316406
2023-08-06T00:00:00Z,31.9555,-109.0744,80.82377624511719
2023-08-07T00:00:00Z,31.9555,-109.0744,83.24478149414062
2023-08-08T00:00:00Z,31.9555,-109.0744,82.55176544189453
2023-08-09T00:00:00Z,31.9555,-109.0744,81.22879028320312
2023-08-10T00:00:00Z,31.9555,-109.0744,79.92378234863281
2023-08-11T00:00:00Z,31.9555,-109.0744,79.64478302001953
2023-08-12T00:00:00Z,31.9555,-109.0744,78.60075378417969
2023-08-13T00:00:00Z,31.9555,-109.0744,79.28475952148438
2023-08-14T00:00:00Z,31.9555,-109.0744,77.94377136230469
2023-08-15T00:00:00Z,31.9555,-109.0744,75.45075225830078
2023-08-16T00:00:00Z,31.9555,-109.0744,76.66572570800781
2023-08-17T00:00:00Z,31.9555,-109.0744,80.24777221679688
2023-08-18T00:00:00Z,31.9555,-109.0744,81.36381530761719
2023-08-19T00:00:00Z,31.9555,-109.0744,81.09376525878906
2023-08-20T00:00:00Z,31.9555,-109.0744,79.92372131347656
2023-08-21T00:00:00Z,31.9555,-109.0744,80.92276763916016
2023-08-22T00:00:00Z,31.9555,-109.0744,81.17474365234375
2023-08-23T00:00:00Z,31.9555,-109.0744,78.60975646972656
2023-08-24T00:00:00Z,31.9555,-109.0744,76.85480499267578
2023-08-25T00:00:00Z,31.9555,-109.0744,77.74579620361328
2023-08-26T00:00:00Z,31.9555,-109.0744,79.36573028564453
2023-08-27T00:00:00Z,31.9555,-109.0744,82.04782104492188
2023-08-28T00:00:00Z,31.9555,-109.0744,80.24777221679688
