"cast_date","cast_month","cast_year","moon","currency","model","dataset","species","estimate","lower_pi","upper_pi","start_moon","end_moon","cast_id","cast_group","confidence_level"
"2019-11-28",5,2020,531,"abundance","jags_RW","controls","DS",0.209,0,0.93,217,525,74,4,0.95
"2019-11-28",6,2020,532,"abundance","jags_RW","controls","DS",0.234,0,0.984,217,525,74,4,0.95
"2019-11-28",7,2020,533,"abundance","jags_RW","controls","DS",0.261,0,1.106,217,525,74,4,0.95
"2019-11-28",8,2020,534,"abundance","jags_RW","controls","DS",0.296,0,1.208,217,525,74,4,0.95
"2019-11-28",9,2020,535,"abundance","jags_RW","controls","DS",0.326,0,1.358,217,525,74,4,0.95
"2019-11-28",10,2020,536,"abundance","jags_RW","controls","DS",0.365,0,1.45,217,525,74,4,0.95
"2019-11-28",11,2020,537,"abundance","jags_RW","controls","DS",0.399,0,1.598,217,525,74,4,0.95
"2019-11-28",10,2019,524,"abundance","jags_RW","controls","NA",0.028,0,0.173,217,525,74,4,0.95
"2019-11-28",11,2019,525,"abundance","jags_RW","controls","NA",0.036,0,0.207,217,525,74,4,0.95
"2019-11-28",12,2019,526,"abundance","jags_RW","controls","NA",0.044,0,0.247,217,525,74,4,0.95
"2019-11-28",1,2020,527,"abundance","jags_RW","controls","NA",0.054,0,0.286,217,525,74,4,0.95
"2019-11-28",2,2020,528,"abundance","jags_RW","controls","NA",0.064,0,0.325,217,525,74,4,0.95
"2019-11-28",3,2020,529,"abundance","jags_RW","controls","NA",0.076,0,0.37,217,525,74,4,0.95
"2019-11-28",4,2020,530,"abundance","jags_RW","controls","NA",0.088,0,0.423,217,525,74,4,0.95
"2019-11-28",5,2020,531,"abundance","jags_RW","controls","NA",0.107,0,0.466,217,525,74,4,0.95
"2019-11-28",6,2020,532,"abundance","jags_RW","controls","NA",0.128,0,0.524,217,525,74,4,0.95
"2019-11-28",7,2020,533,"abundance","jags_RW","controls","NA",0.156,0,0.571,217,525,74,4,0.95
"2019-11-28",8,2020,534,"abundance","jags_RW","controls","NA",0.185,0,0.645,217,525,74,4,0.95
"2019-11-28",9,2020,535,"abundance","jags_RW","controls","NA",0.214,0,0.691,217,525,74,4,0.95
"2019-11-28",10,2020,536,"abundance","jags_RW","controls","NA",0.255,0,0.761,217,525,74,4,0.95
"2019-11-28",11,2020,537,"abundance","jags_RW","controls","NA",0.29,0,0.818,217,525,74,4,0.95
"2019-11-28",10,2019,524,"abundance","jags_RW","controls","OL",0.34,0.002,0.941,217,525,74,4,0.95
"2019-11-28",11,2019,525,"abundance","jags_RW","controls","OL",0.389,0,1.195,217,525,74,4,0.95
"2019-11-28",12,2019,526,"abundance","jags_RW","controls","OL",0.447,0,1.488,217,525,74,4,0.95
"2019-11-28",1,2020,527,"abundance","jags_RW","controls","OL",0.513,0,1.809,217,525,74,4,0.95
