"cast_date","cast_month","cast_year","moon","currency","model","dataset","species","estimate","lower_pi","upper_pi","cast_group","confidence_level","start_moon","end_moon","cast_id"
"2023-03-09",3,2023,566,"abundance","jags_logistic","controls","DM",21.621,15.677,27.745,122,0.95,217,565,3101
"2023-03-09",4,2023,567,"abundance","jags_logistic","controls","DM",21.282,13.882,29.554,122,0.95,217,565,3101
"2023-03-09",5,2023,568,"abundance","jags_logistic","controls","DM",20.957,12.348,30.376,122,0.95,217,565,3101
"2023-03-09",6,2023,569,"abundance","jags_logistic","controls","DM",20.651,11.35,31.015,122,0.95,217,565,3101
"2023-03-09",7,2023,570,"abundance","jags_logistic","controls","DM",20.356,10.664,31.348,122,0.95,217,565,3101
"2023-03-09",8,2023,571,"abundance","jags_logistic","controls","DM",20.088,10.176,31.776,122,0.95,217,565,3101
"2023-03-09",9,2023,572,"abundance","jags_logistic","controls","DM",19.847,9.386,31.774,122,0.95,217,565,3101
"2023-03-09",10,2023,573,"abundance","jags_logistic","controls","DM",19.634,9.065,31.933,122,0.95,217,565,3101
"2023-03-09",11,2023,574,"abundance","jags_logistic","controls","DM",19.421,8.655,31.823,122,0.95,217,565,3101
"2023-03-09",12,2023,575,"abundance","jags_logistic","controls","DM",19.238,8.497,32.116,122,0.95,217,565,3101
"2023-03-09",1,2024,576,"abundance","jags_logistic","controls","DM",19.073,7.862,31.709,122,0.95,217,565,3101
"2023-03-09",2,2024,577,"abundance","jags_logistic","controls","DM",18.931,7.668,31.843,122,0.95,217,565,3101
