"cast_date","cast_month","cast_year","moon","currency","model","dataset","species","estimate","lower_pi","upper_pi","cast_group","confidence_level","start_moon","end_moon","cast_id"
"2023-02-16",2,2023,565,"abundance","jags_logistic_competition_covariates","controls","DM",19.022,13.389,24.747,119,0.95,217,564,3029
"2023-02-16",3,2023,566,"abundance","jags_logistic_competition_covariates","controls","DM",18.798,11.832,26.192,119,0.95,217,564,3029
"2023-02-16",4,2023,567,"abundance","jags_logistic_competition_covariates","controls","DM",18.361,10.51,26.901,119,0.95,217,564,3029
"2023-02-16",5,2023,568,"abundance","jags_logistic_competition_covariates","controls","DM",17.96,9.46,27.379,119,0.95,217,564,3029
"2023-02-16",6,2023,569,"abundance","jags_logistic_competition_covariates","controls","DM",17.582,8.471,27.855,119,0.95,217,564,3029
"2023-02-16",7,2023,570,"abundance","jags_logistic_competition_covariates","controls","DM",17.098,7.625,27.866,119,0.95,217,564,3029
"2023-02-16",8,2023,571,"abundance","jags_logistic_competition_covariates","controls","DM",16.028,7.537,26.802,119,0.95,217,564,3029
"2023-02-16",9,2023,572,"abundance","jags_logistic_competition_covariates","controls","DM",14.899,6.569,24.972,119,0.95,217,564,3029
"2023-02-16",10,2023,573,"abundance","jags_logistic_competition_covariates","controls","DM",13.932,5.873,23.817,119,0.95,217,564,3029
"2023-02-16",11,2023,574,"abundance","jags_logistic_competition_covariates","controls","DM",13.41,5.595,23.504,119,0.95,217,564,3029
"2023-02-16",12,2023,575,"abundance","jags_logistic_competition_covariates","controls","DM",13.059,4.971,23.048,119,0.95,217,564,3029
"2023-02-16",1,2024,576,"abundance","jags_logistic_competition_covariates","controls","DM",12.783,4.753,22.945,119,0.95,217,564,3029
