"date","currency","model","level","species","aic","fit_start_newmoon","fit_end_newmoon","initial_newmoon"
"2018-06-08","abundance","pevGARCH","Controls","OL",435.494366031621,217,506,506
"2018-06-08","abundance","pevGARCH","Controls","OT",992.368471028247,217,506,506
"2018-06-08","abundance","pevGARCH","Controls","PB",822.874015685185,217,506,506
"2018-06-08","abundance","pevGARCH","Controls","PE",382.617582098921,217,506,506
"2018-06-08","abundance","pevGARCH","Controls","PF",616.065070154803,217,506,506
"2018-06-08","abundance","pevGARCH","Controls","PH",1e+06,217,506,506
"2018-06-08","abundance","pevGARCH","Controls","PL",48.1275334835433,217,506,506
"2018-06-08","abundance","pevGARCH","Controls","PM",281.681745662729,217,506,506
"2018-06-08","abundance","pevGARCH","Controls","PP",1988.7445151872,217,506,506
"2018-06-08","abundance","pevGARCH","Controls","RF",1e+06,217,506,506
"2018-06-08","abundance","pevGARCH","Controls","RM",401.649399411799,217,506,506
"2018-06-08","abundance","pevGARCH","Controls","RO",61.9492986429148,217,506,506
"2018-06-08","abundance","pevGARCH","Controls","SF",280.068235650894,217,506,506
"2018-06-08","abundance","pevGARCH","Controls","SH",182.500561951329,217,506,506
"2018-06-08","abundance","pevGARCH","Controls","SO",1e+06,217,506,506
"2018-06-08","abundance","pevGARCH","Controls","total",2252.16371084579,217,506,506
