"date","forecastmonth","forecastyear","NewMoonNumber","currency","model","level","species","estimate","LowerPI","UpperPI"
2017-01-29,1,2017,491,"abundance","Forecast","All","total",126.43489542187,70.1139989842423,182.755791859497
2017-01-29,2,2017,492,"abundance","Forecast","All","total",134.126370555772,54.0722917094702,214.180449402074
2017-01-29,3,2017,493,"abundance","Forecast","All","total",141.817845689675,40.7830477393647,242.852643639984
2017-01-29,4,2017,494,"abundance","Forecast","All","total",149.509320823577,28.5713325499862,270.447309097168
2017-01-29,5,2017,495,"abundance","Forecast","All","total",157.200795957479,16.7658025650744,297.635789349885
2017-01-29,6,2017,496,"abundance","Forecast","All","total",164.892271091382,5.01960674551506,324.764935437249
2017-01-29,7,2017,497,"abundance","Forecast","All","total",172.583746225284,-6.87430276447989,352.041795215049
2017-01-29,8,2017,498,"abundance","Forecast","All","total",180.275221359187,-19.0522756716791,379.602718390053
2017-01-29,9,2017,499,"abundance","Forecast","All","total",187.966696493089,-31.6110128171604,407.544405803339
2017-01-29,10,2017,500,"abundance","Forecast","All","total",195.658171626992,-44.6233229234682,435.939666177452
2017-01-29,11,2017,501,"abundance","Forecast","All","total",203.349646760894,-58.1468528396773,464.846146361466
2017-01-29,12,2017,502,"abundance","Forecast","All","total",211.041121894797,-72.2292589533649,494.311502742959
2017-01-29,1,2017,491,"abundance","AutoArima","All","total",123.428621192745,76.153335694991,200.051966082744
2017-01-29,2,2017,492,"abundance","AutoArima","All","total",125.600748144486,66.056997489989,238.81721140664
2017-01-29,3,2017,493,"abundance","AutoArima","All","total",127.539049167101,60.6941792506181,268.002784835131
2017-01-29,4,2017,494,"abundance","AutoArima","All","total",129.265239383125,57.432156204499,290.943318465687
2017-01-29,5,2017,495,"abundance","AutoArima","All","total",130.799833552535,55.3239661607399,309.243852974372
2017-01-29,6,2017,496,"abundance","AutoArima","All","total",132.16199636099,53.9194670072735,323.942246679962
2017-01-29,7,2017,497,"abundance","AutoArima","All","total",133.369467672711,52.9711271590275,335.794533008552
2017-01-29,8,2017,498,"abundance","AutoArima","All","total",134.438544012089,52.3299232964467,345.380252397919
2017-01-29,9,2017,499,"abundance","AutoArima","All","total",135.384101008039,51.9004991323554,353.153729003896
2017-01-29,10,2017,500,"abundance","AutoArima","All","total",136.219644603432,51.6191854848814,359.474706963749
2017-01-29,11,2017,501,"abundance","AutoArima","All","total",136.957381461451,51.4421718896737,364.629323524786
2017-01-29,12,2017,502,"abundance","AutoArima","All","total",137.608301199462,51.3386692568462,368.84564467897
2017-01-29,1,2017,491,"abundance","NegBinom Time Series","All","BA",0.155964650546188,0,1
2017-01-29,2,2017,492,"abundance","NegBinom Time Series","All","BA",0.323968294698672,0,2
2017-01-29,3,2017,493,"abundance","NegBinom Time Series","All","BA",0.407240596777183,0,1
2017-01-29,4,2017,494,"abundance","NegBinom Time Series","All","BA",0.470420084889378,0,1
2017-01-29,5,2017,495,"abundance","NegBinom Time Series","All","BA",0.566463825875127,0,1
2017-01-29,6,2017,496,"abundance","NegBinom Time Series","All","BA",0.634674139446999,0,1
2017-01-29,7,2017,497,"abundance","NegBinom Time Series","All","BA",0.669881500338716,0,1
2017-01-29,8,2017,498,"abundance","NegBinom Time Series","All","BA",0.696013270166878,0,1
2017-01-29,9,2017,499,"abundance","NegBinom Time Series","All","BA",0.719345233826646,0,1
2017-01-29,10,2017,500,"abundance","NegBinom Time Series","All","BA",0.741923768297009,0,1
2017-01-29,11,2017,501,"abundance","NegBinom Time Series","All","BA",0.762341544022743,0,1
2017-01-29,12,2017,502,"abundance","NegBinom Time Series","All","BA",0.781203836286911,0,1
2017-01-29,1,2017,491,"abundance","NegBinom Time Series","All","DM",57.1907946754387,39,80
2017-01-29,2,2017,492,"abundance","NegBinom Time Series","All","DM",54.2190947713184,32,82
2017-01-29,3,2017,493,"abundance","NegBinom Time Series","All","DM",51.7895981745685,28,85
2017-01-29,4,2017,494,"abundance","NegBinom Time Series","All","DM",49.7051638522509,24,85
2017-01-29,5,2017,495,"abundance","NegBinom Time Series","All","DM",47.8080915420848,22,80
2017-01-29,6,2017,496,"abundance","NegBinom Time Series","All","DM",46.5266188612791,21,79
2017-01-29,7,2017,497,"abundance","NegBinom Time Series","All","DM",44.9200266891289,19,77
2017-01-29,8,2017,498,"abundance","NegBinom Time Series","All","DM",43.2346161515463,18,77
2017-01-29,9,2017,499,"abundance","NegBinom Time Series","All","DM",41.6702231006846,16,72
2017-01-29,10,2017,500,"abundance","NegBinom Time Series","All","DM",40.4838317039484,17,74
2017-01-29,11,2017,501,"abundance","NegBinom Time Series","All","DM",39.4861409939375,16,73
2017-01-29,12,2017,502,"abundance","NegBinom Time Series","All","DM",38.9130475783141,15,69
2017-01-29,1,2017,491,"abundance","NegBinom Time Series","All","DO",15.5483452922153,6,26
2017-01-29,2,2017,492,"abundance","NegBinom Time Series","All","DO",15.1634038026071,4,33
2017-01-29,3,2017,493,"abundance","NegBinom Time Series","All","DO",14.8353214249212,3,36
2017-01-29,4,2017,494,"abundance","NegBinom Time Series","All","DO",14.5556995877177,3,38
2017-01-29,5,2017,495,"abundance","NegBinom Time Series","All","DO",14.3173802595033,2,37
2017-01-29,6,2017,496,"abundance","NegBinom Time Series","All","DO",14.1142627105669,2,39
2017-01-29,7,2017,497,"abundance","NegBinom Time Series","All","DO",13.9411473405372,1,38
2017-01-29,8,2017,498,"abundance","NegBinom Time Series","All","DO",13.7936025739899,2,37
2017-01-29,9,2017,499,"abundance","NegBinom Time Series","All","DO",13.6678514166547,1,36
2017-01-29,10,2017,500,"abundance","NegBinom Time Series","All","DO",13.5606747682181,2,39
2017-01-29,11,2017,501,"abundance","NegBinom Time Series","All","DO",13.4693290167017,2,38
2017-01-29,12,2017,502,"abundance","NegBinom Time Series","All","DO",13.3914758048322,2,42
2017-01-29,1,2017,491,"abundance","NegBinom Time Series","All","DS",0.891129081053054,0,3
