"date","forecastmonth","forecastyear","NewMoonNumber","currency","model","level","species","estimate","LowerPI","UpperPI"
2016-11-06,11,2016,488,"abundance","Forecast","Controls","total",27.0737597423893,14.0003070742097,40.1472124105689
2016-11-06,12,2016,489,"abundance","Forecast","Controls","total",28.2860249776028,11.1997336244063,45.3723163307994
2016-11-06,1,2017,490,"abundance","Forecast","Controls","total",29.4982902128164,8.77976440077135,50.2168160248614
2016-11-06,2,2017,491,"abundance","Forecast","Controls","total",30.7105554480299,6.54105917737828,54.8800517186815
2016-11-06,3,2017,492,"abundance","Forecast","Controls","total",31.9228206832435,4.39033648425415,59.4553048822328
2016-11-06,4,2017,493,"abundance","Forecast","Controls","total",33.135085918457,2.27526498734507,63.9949068495689
2016-11-06,5,2017,494,"abundance","Forecast","Controls","total",34.3473511536705,0.162990767847639,68.5317115394934
2016-11-06,6,2017,495,"abundance","Forecast","Controls","total",35.5596163888841,-1.96881264909826,73.0880454268664
2016-11-06,7,2017,496,"abundance","Forecast","Controls","total",36.7718816240976,-4.1362642741416,77.6800275223368
2016-11-06,8,2017,497,"abundance","Forecast","Controls","total",37.9841468593112,-6.35158514635734,82.3198788649797
2016-11-06,9,2017,498,"abundance","Forecast","Controls","total",39.1964120945247,-8.62443027791753,87.0172544669669
2016-11-06,10,2017,499,"abundance","Forecast","Controls","total",40.4086773297382,-10.9627033510777,91.7800580105542
2016-11-06,11,2016,488,"abundance","AutoArima","Controls","total",27.2828705606152,15.3897696108041,48.3668725946829
2016-11-06,12,2016,489,"abundance","AutoArima","Controls","total",29.2026637199712,14.0783730232062,60.5748666366497
2016-11-06,1,2017,490,"abundance","AutoArima","Controls","total",30.7896200953325,13.6561253603834,69.4194495581497
2016-11-06,2,2017,491,"abundance","AutoArima","Controls","total",32.0840081433566,13.5530384440912,75.9522363040119
2016-11-06,3,2017,492,"abundance","AutoArima","Controls","total",33.1288237476945,13.5818634701473,80.8076863177232
2016-11-06,4,2017,493,"abundance","AutoArima","Controls","total",33.965375158097,13.6631119577319,84.4351355093328
2016-11-06,5,2017,494,"abundance","AutoArima","Controls","total",34.6309606927225,13.7596550820751,87.1608649597071
2016-11-06,6,2017,495,"abundance","AutoArima","Controls","total",35.1579247705363,13.853958298736,89.2221304205507
2016-11-06,7,2017,496,"abundance","AutoArima","Controls","total",35.5735454090217,13.9382942722605,90.7913915611783
2016-11-06,8,2017,497,"abundance","AutoArima","Controls","total",35.9003742752475,14.0099711983309,91.9942557238374
2016-11-06,9,2017,498,"abundance","AutoArima","Controls","total",36.1567858106464,14.0688382920109,92.9226090329957
2016-11-06,10,2017,499,"abundance","AutoArima","Controls","total",36.357589490161,14.1159415409529,93.6440767836896
2016-11-06,11,2016,488,"abundance","NegBinom Time Series","Controls","BA",0.207361212010432,0,1
2016-11-06,12,2016,489,"abundance","NegBinom Time Series","Controls","BA",0.290222733794618,0,1
2016-11-06,1,2017,490,"abundance","NegBinom Time Series","Controls","BA",0.391272583920114,0,2
2016-11-06,2,2017,491,"abundance","NegBinom Time Series","Controls","BA",0.427927789077545,0,2
2016-11-06,3,2017,492,"abundance","NegBinom Time Series","Controls","BA",0.381385631973351,0,1
2016-11-06,4,2017,493,"abundance","NegBinom Time Series","Controls","BA",0.384195050509736,0,1
2016-11-06,5,2017,494,"abundance","NegBinom Time Series","Controls","BA",0.348184696597288,0,1
2016-11-06,6,2017,495,"abundance","NegBinom Time Series","Controls","BA",0.330428527125768,0,1
2016-11-06,7,2017,496,"abundance","NegBinom Time Series","Controls","BA",0.318961139276661,0,1
2016-11-06,8,2017,497,"abundance","NegBinom Time Series","Controls","BA",0.30249338391613,0,1
2016-11-06,9,2017,498,"abundance","NegBinom Time Series","Controls","BA",0.299573524915892,0,1
2016-11-06,10,2017,499,"abundance","NegBinom Time Series","Controls","BA",0.287774732168068,0,1
2016-11-06,11,2016,488,"abundance","NegBinom Time Series","Controls","DM",14.4535418842202,8,22
2016-11-06,12,2016,489,"abundance","NegBinom Time Series","Controls","DM",14.8052957478261,7,24
2016-11-06,1,2017,490,"abundance","NegBinom Time Series","Controls","DM",15.1275533733956,7,26
2016-11-06,2,2017,491,"abundance","NegBinom Time Series","Controls","DM",15.3815372301478,7,27
2016-11-06,3,2017,492,"abundance","NegBinom Time Series","Controls","DM",15.5844930384863,7,28
2016-11-06,4,2017,493,"abundance","NegBinom Time Series","Controls","DM",15.6456011840525,7,27
2016-11-06,5,2017,494,"abundance","NegBinom Time Series","Controls","DM",15.8148841414197,7,28
2016-11-06,6,2017,495,"abundance","NegBinom Time Series","Controls","DM",15.8154308033396,6,28
2016-11-06,7,2017,496,"abundance","NegBinom Time Series","Controls","DM",15.8152083766618,6,28
2016-11-06,8,2017,497,"abundance","NegBinom Time Series","Controls","DM",15.7551839385707,6,27
2016-11-06,9,2017,498,"abundance","NegBinom Time Series","Controls","DM",15.7083818052983,6,26
2016-11-06,10,2017,499,"abundance","NegBinom Time Series","Controls","DM",15.6582619170569,6,28
2016-11-06,11,2016,488,"abundance","NegBinom Time Series","Controls","DO",4.88604097662025,1,11
2016-11-06,12,2016,489,"abundance","NegBinom Time Series","Controls","DO",4.68323490638105,0,13
2016-11-06,1,2017,490,"abundance","NegBinom Time Series","Controls","DO",4.55746325526966,0,14
2016-11-06,2,2017,491,"abundance","NegBinom Time Series","Controls","DO",4.55210891316525,0,15
2016-11-06,3,2017,492,"abundance","NegBinom Time Series","Controls","DO",4.62505941706213,0,17
2016-11-06,4,2017,493,"abundance","NegBinom Time Series","Controls","DO",4.63842826516853,0,17
2016-11-06,5,2017,494,"abundance","NegBinom Time Series","Controls","DO",4.57402141524422,0,17
2016-11-06,6,2017,495,"abundance","NegBinom Time Series","Controls","DO",4.5688893190281,0,16
2016-11-06,7,2017,496,"abundance","NegBinom Time Series","Controls","DO",4.48908108796922,0,17
2016-11-06,8,2017,497,"abundance","NegBinom Time Series","Controls","DO",4.39370043969129,0,19
2016-11-06,9,2017,498,"abundance","NegBinom Time Series","Controls","DO",4.28465701706618,0,17
2016-11-06,10,2017,499,"abundance","NegBinom Time Series","Controls","DO",4.13711153429985,0,18
2016-11-06,11,2016,488,"abundance","NegBinom Time Series","Controls","DS",0.518137765578748,0,3
2016-11-06,12,2016,489,"abundance","NegBinom Time Series","Controls","DS",0.290065740445915,0,1
2016-11-06,1,2017,490,"abundance","NegBinom Time Series","Controls","DS",0.182117297257273,0,0
2016-11-06,2,2017,491,"abundance","NegBinom Time Series","Controls","DS",0.131026003659214,0,0
2016-11-06,3,2017,492,"abundance","NegBinom Time Series","Controls","DS",0.1068350427632,0,1
2016-11-06,4,2017,493,"abundance","NegBinom Time Series","Controls","DS",0.0953864768962154,0,0
2016-11-06,5,2017,494,"abundance","NegBinom Time Series","Controls","DS",0.164208461056176,0,1
2016-11-06,6,2017,495,"abundance","NegBinom Time Series","Controls","DS",0.196782161999498,0,1
2016-11-06,7,2017,496,"abundance","NegBinom Time Series","Controls","DS",0.21219958931373,0,1
2016-11-06,8,2017,497,"abundance","NegBinom Time Series","Controls","DS",0.219496714869639,0,1
2016-11-06,9,2017,498,"abundance","NegBinom Time Series","Controls","DS",0.148708559262133,0,1
2016-11-06,10,2017,499,"abundance","NegBinom Time Series","Controls","DS",0.189446347785744,0,1
2016-11-06,11,2016,488,"abundance","NegBinom Time Series","Controls","NA",0.0735524303182827,0,1
2016-11-06,12,2016,489,"abundance","NegBinom Time Series","Controls","NA",0.102912257869586,0,1
2016-11-06,1,2017,490,"abundance","NegBinom Time Series","Controls","NA",0.114631781889556,0,1
2016-11-06,2,2017,491,"abundance","NegBinom Time Series","Controls","NA",0.119309848987009,0,1
2016-11-06,3,2017,492,"abundance","NegBinom Time Series","Controls","NA",0.121177186920784,0,1
2016-11-06,4,2017,493,"abundance","NegBinom Time Series","Controls","NA",0.121922569765082,0,1
2016-11-06,5,2017,494,"abundance","NegBinom Time Series","Controls","NA",0.122220103261576,0,1
2016-11-06,6,2017,495,"abundance","NegBinom Time Series","Controls","NA",0.122338869318796,0,1
2016-11-06,7,2017,496,"abundance","NegBinom Time Series","Controls","NA",0.122386277010749,0,1
2016-11-06,8,2017,497,"abundance","NegBinom Time Series","Controls","NA",0.122405200677231,0,1
2016-11-06,9,2017,498,"abundance","NegBinom Time Series","Controls","NA",0.122412754412467,0,1
2016-11-06,10,2017,499,"abundance","NegBinom Time Series","Controls","NA",0.122415769627096,0,1
2016-11-06,11,2016,488,"abundance","NegBinom Time Series","Controls","OL",0.80136769733353,0,4
2016-11-06,12,2016,489,"abundance","NegBinom Time Series","Controls","OL",0.740342808012346,0,4
2016-11-06,1,2017,490,"abundance","NegBinom Time Series","Controls","OL",0.705895107794971,0,3
2016-11-06,2,2017,491,"abundance","NegBinom Time Series","Controls","OL",0.688244556318016,0,3
2016-11-06,3,2017,492,"abundance","NegBinom Time Series","Controls","OL",0.577634794836393,0,3
2016-11-06,4,2017,493,"abundance","NegBinom Time Series","Controls","OL",0.52077222784624,0,2
2016-11-06,5,2017,494,"abundance","NegBinom Time Series","Controls","OL",0.492071248121277,0,2
2016-11-06,6,2017,495,"abundance","NegBinom Time Series","Controls","OL",0.471396704587987,0,2
2016-11-06,7,2017,496,"abundance","NegBinom Time Series","Controls","OL",0.498825299735363,0,2
2016-11-06,8,2017,497,"abundance","NegBinom Time Series","Controls","OL",0.518225503508939,0,3
2016-11-06,9,2017,498,"abundance","NegBinom Time Series","Controls","OL",0.522621613591154,0,3
2016-11-06,10,2017,499,"abundance","NegBinom Time Series","Controls","OL",0.484527432705183,0,3
