"date","model","currency","level","species","aic","fit_start_newmoon","fit_end_newmoon","initial_newmoon"
2017-11-21,"Poisson Env","abundance","All","BA",623.163970782432,217,499,499
2017-11-21,"Poisson Env","abundance","All","DM",1668.18366342457,217,499,499
2017-11-21,"Poisson Env","abundance","All","DO",1473.68416401102,217,499,499
2017-11-21,"Poisson Env","abundance","All","DS",300.900975510137,217,499,499
2017-11-21,"Poisson Env","abundance","All","NA",1e+06,217,499,499
2017-11-21,"Poisson Env","abundance","All","OL",806.393228538818,217,499,499
2017-11-21,"Poisson Env","abundance","All","OT",1479.82313260842,217,499,499
2017-11-21,"Poisson Env","abundance","All","PB",2016.87408710045,217,499,499
2017-11-21,"Poisson Env","abundance","All","PE",1176.87019162649,217,499,499
2017-11-21,"Poisson Env","abundance","All","PF",1139.25504585927,217,499,499
2017-11-21,"Poisson Env","abundance","All","PH",101.180616274163,217,499,499
2017-11-21,"Poisson Env","abundance","All","PL",408.251151908793,217,499,499
2017-11-21,"Poisson Env","abundance","All","PM",761.918980938522,217,499,499
2017-11-21,"Poisson Env","abundance","All","PP",4812.19320413304,217,499,499
2017-11-21,"Poisson Env","abundance","All","RF",59.575642699983,217,499,499
2017-11-21,"Poisson Env","abundance","All","RM",1238.80926143851,217,499,499
2017-11-21,"Poisson Env","abundance","All","RO",270.900310907302,217,499,499
2017-11-21,"Poisson Env","abundance","All","SF",599.50860935632,217,499,499
2017-11-21,"Poisson Env","abundance","All","SH",605.884535623537,217,499,499
2017-11-21,"Poisson Env","abundance","All","SO",16.9940182509725,217,499,499
2017-11-21,"Poisson Env","abundance","All","total",3963.625775247,217,499,499
