"date","model","currency","level","species","aic","fit_start_newmoon","fit_end_newmoon","initial_newmoon"
2017-11-20,"Poisson Env","abundance","Controls","BA",1e+06,217,499,499
2017-11-20,"Poisson Env","abundance","Controls","DM",1350.80594139405,217,499,499
2017-11-20,"Poisson Env","abundance","Controls","DO",894.19291623382,217,499,499
2017-11-20,"Poisson Env","abundance","Controls","DS",171.99368427198,217,499,499
2017-11-20,"Poisson Env","abundance","Controls","NA",1e+06,217,499,499
2017-11-20,"Poisson Env","abundance","Controls","OL",391.668663510008,217,499,499
2017-11-20,"Poisson Env","abundance","Controls","OT",879.002204803704,217,499,499
2017-11-20,"Poisson Env","abundance","Controls","PB",1000.03938756254,217,499,499
2017-11-20,"Poisson Env","abundance","Controls","PE",318.481062967291,217,499,499
2017-11-20,"Poisson Env","abundance","Controls","PF",558.795426992598,217,499,499
2017-11-20,"Poisson Env","abundance","Controls","PH",1e+06,217,499,499
2017-11-20,"Poisson Env","abundance","Controls","PL",47.2029993138611,217,499,499
2017-11-20,"Poisson Env","abundance","Controls","PM",271.453198825147,217,499,499
2017-11-20,"Poisson Env","abundance","Controls","PP",1834.18264962486,217,499,499
2017-11-20,"Poisson Env","abundance","Controls","RF",1e+06,217,499,499
2017-11-20,"Poisson Env","abundance","Controls","RM",387.07295750834,217,499,499
2017-11-20,"Poisson Env","abundance","Controls","RO",63.3840826082185,217,499,499
2017-11-20,"Poisson Env","abundance","Controls","SF",1e+06,217,499,499
2017-11-20,"Poisson Env","abundance","Controls","SH",150.172765426739,217,499,499
2017-11-20,"Poisson Env","abundance","Controls","SO",1e+06,217,499,499
2017-11-20,"Poisson Env","abundance","Controls","total",2008.5945719556,217,499,499
