year,month,CFSv2_1,CMC1_1,CMC2_1,GFDL_1,NASA_GEOS5v2_1,NCAR_1,GFDL-FLOR_1,ENSMEAN_1,CFSv2_2,CMC1_2,CMC2_2,GFDL_2,NASA_GEOS5v2_2,NCAR_2,GFDL-FLOR_2,ENSMEAN_2,CFSv2_3,CMC1_3,CMC2_3,GFDL_3,NASA_GEOS5v2_3,NCAR_3,GFDL-FLOR_3,ENSMEAN_3,CFSv2_4,CMC1_4,CMC2_4,GFDL_4,NASA_GEOS5v2_4,NCAR_4,GFDL-FLOR_4,ENSMEAN_4,CFSv2_5,CMC1_5,CMC2_5,GFDL_5,NASA_GEOS5v2_5,NCAR_5,GFDL-FLOR_5,ENSMEAN_5,CFSv2_6,CMC1_6,CMC2_6,GFDL_6,NASA_GEOS5v2_6,NCAR_6,GFDL-FLOR_6,ENSMEAN_6,CFSv2_7,CMC1_7,CMC2_7,GFDL_7,NASA_GEOS5v2_7,NCAR_7,GFDL-FLOR_7,ENSMEAN_7
1982,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1982,2,7.6154,7.0955,8.0301,7.9693,9.1492,9.1852,8.7724,8.2596,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1982,3,11.266,10.319,10.728,10.454,10.475,11.319,10.739,10.757,11.342,10.557,11.051,12.131,11.57,12.489,10.846,11.427,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1982,4,14.901,16.377,14.605,14.368,15.796,14.941,14.146,15.019,14.698,14.627,14.058,15.026,14.98,14.772,14.424,14.655,14.553,13.968,15.239,15.968,15.643,14.973,14.646,14.998,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1982,5,19.225,18.994,19.897,19.414,19.852,19.849,18.972,19.458,19.316,18.798,19.374,19.131,19.952,18.807,18.89,19.181,19.092,18.83,19.534,19.355,19.471,19.057,18.726,19.152,19.229,18.817,19.638,18.763,20.359,19.587,19.283,19.382,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1982,6,24.288,24.43,24.111,24.752,24.794,23.712,24.291,24.34,24.889,25.068,24.231,23.879,24.893,25.04,24.169,24.596,24.989,23.89,24.503,23.492,24.157,24.492,23.557,24.154,23.943,24.415,24.183,23.892,24.271,23.896,23.645,24.035,23.855,24.17,24.333,24.462,25.151,23.716,24.111,24.257,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1982,7,26.263,25.861,25.843,25.215,26.824,25.892,25.747,25.949,26.593,26.719,26.228,26.285,26.089,26.197,25.513,26.232,26.256,26.191,27.257,25.347,26.832,26.548,25.015,26.207,26.193,25.277,25.958,26.431,26.083,26.713,25.014,25.953,26.444,25.809,25.3,25.253,26.433,26.277,25.031,25.793,26.625,26.604,26.379,25.782,27.53,25.314,25.257,26.213,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1982,8,24.89,24.376,24.053,24.449,25.341,24.425,25.322,24.694,24.72,23.882,24.521,24.886,25.457,24.424,23.674,24.509,24.6,25.062,24.633,25.993,23.445,25.133,24.032,24.7,24.407,25.059,23.798,24.71,25.37,24.74,24.021,24.586,24.564,25.249,24.383,24.764,24.515,24.351,23.722,24.507,24.741,25.067,24.485,24.799,24.596,24.018,24.191,24.557,25.142,25.243,24.571,24.753,27.086,23.957,24.684,25.062
1982,9,22.215,21.783,20.742,20.701,21.978,21.396,21.013,21.404,20.892,21.833,20.679,21.533,22.753,21.116,21.515,21.475,22.151,21.385,20.678,24.124,21.466,20.719,20.679,21.6,21.92,20.948,21.751,22.267,20.912,21.036,20.764,21.371,22.552,20.86,20.834,22.779,22.022,20.77,20.759,21.511,21.526,21.868,22.083,21.145,21.331,22.621,20.688,21.609,21.231,20.692,21.695,20.922,21.031,20.774,21.82,21.166
1982,10,16.807,16.246,15.088,15.892,16.391,15.28,15.983,15.955,16.672,16.502,15.1,16.308,16.002,15.755,15.09,15.918,15.739,17.512,15.087,16.517,18.525,16.172,16,16.507,16.43,15.221,15.088,17.119,16.075,16.345,15.504,15.969,16.078,17.524,16.276,15.951,15.088,15.089,15.089,15.871,16.782,16.505,16.435,16.094,16.55,15.759,16.217,16.335,16.438,17.635,16.594,15.088,17.078,15.593,15.233,16.237
